depth_bin_lo_cm,depth_bin_hi_cm,depth_bin_mid_cm,at_risk_count,interaction_count,exposure_cm,hazard_per_cm,fitted_survival
10.5,10.75,10.625,11,0,2.75,0.0,7.128790715873651e-05
10.75,11.0,10.875,11,0,2.711665764243996,0.0,5.694292445998975e-05
11.0,11.25,11.125,10,0,2.5,0.0,4.548452571115673e-05
11.25,11.5,11.375,10,0,2.5,0.0,3.633185507749122e-05
11.5,11.75,11.625,10,0,2.5,0.0,2.902094003913167e-05
11.75,12.0,11.875,10,0,2.5,0.0,2.3181171425421025e-05
12.0,12.25,12.125,10,0,2.5,0.0,1.8516516278596524e-05
12.25,12.5,12.375,10,0,2.287648016756002,0.0,1.47905111783756e-05
12.5,12.75,12.625,8,0,1.8476388911529966,0.0,1.1814275300290677e-05
12.75,13.0,12.875,7,0,1.642069611145999,0.0,9.43693555873354e-06
13.0,13.25,13.125,6,0,1.5,0.0,7.5379784604730195e-06
13.25,13.5,13.375,6,0,1.5,0.0,6.021140964342943e-06
13.5,13.75,13.625,6,0,1.5,0.0,4.809530658994976e-06
13.75,14.0,13.875,6,0,1.5,0.0,3.8417278879198e-06
14.0,14.25,14.125,6,0,1.460292902323996,0.0,3.068672228384307e-06
14.25,14.5,14.375,5,0,1.25,0.0,2.4511754918581766e-06
14.5,14.75,14.625,5,0,1.25,0.0,1.957935173496717e-06
14.75,15.0,14.875,5,0,1.25,0.0,1.5639476473018752e-06
15.0,15.25,15.125,5,0,1.25,0.0,1.2492406677248839e-06
15.25,15.5,15.375,5,0,1.25,0.0,9.978609249421278e-07
15.5,15.75,15.625,5,0,1.2442024762749995,0.0,7.970653303656638e-07
15.75,16.0,15.875,4,0,1.0,0.0,6.366750365616047e-07
16.0,16.25,16.125,4,0,0.9024235079299991,0.0,5.085594451771703e-07
16.25,16.5,16.375,3,0,0.75,0.0,4.0622404590522443e-07
16.5,16.75,16.625,3,0,0.5709557781290044,0.0,3.244811929785734e-07
16.75,17.0,16.875,2,0,0.5,0.0,2.5918713000402483e-07
17.0,17.25,17.125,2,0,0.5,0.0,2.070319322456364e-07
17.25,17.5,17.375,2,0,0.40952724806500385,0.0,1.6537171798883729e-07
17.5,17.75,17.625,1,0,0.25,0.0,1.3209462334598863e-07
17.75,18.0,17.875,1,0,0.25,0.0,1.055137464200281e-07
18.0,18.25,18.125,1,0,0.25,0.0,8.428163388928787e-08
18.25,18.5,18.375,1,0,0.25,0.0,6.732197511754402e-08
18.5,18.75,18.625,1,0,0.25,0.0,5.377504118727397e-08
18.75,19.0,18.875,1,0,0.25,0.0,4.295410301976456e-08
19.0,19.25,19.125,1,0,0.25,0.0,3.431061930398281e-08
19.25,19.5,19.375,1,0,0.25,0.0,2.7406429520391984e-08
19.5,19.75,19.625,1,0,0.25,0.0,2.189154245225248e-08
19.75,20.0,19.875,1,0,0.25,0.0,1.748639422666095e-08
20.0,20.25,20.125,1,0,0.25,0.0,1.3967676499594504e-08
20.25,20.5,20.375,1,0,0.25,0.0,1.1157016379046702e-08
20.5,20.75,20.625,1,0,0.25,0.0,8.911934242315115e-09
20.75,21.0,20.875,1,0,0.25,0.0,7.1186210758377366e-09
21.0,21.25,21.125,1,0,0.25,0.0,5.686169202276032e-09
21.25,21.5,21.375,1,0,0.08034447699299818,0.0,4.541963935495382e-09
21.5,21.75,21.625,0,0,0.0,,3.6280025545288464e-09
21.75,22.0,21.875,0,0,0.0,,2.8979539958043033e-09
22.0,22.25,22.125,0,0,0.0,,2.314810211838103e-09
22.25,22.5,22.375,0,0,0.0,,1.8490101376998564e-09
22.5,22.75,22.625,0,0,0.0,,1.4769411642616143e-09
22.75,23.0,22.875,0,0,0.0,,1.1797421540392617e-09
23.0,23.25,23.125,0,0,0.0,,9.423473214066777e-10
23.25,23.5,23.375,0,0,0.0,,7.527225090007143e-10
23.5,23.75,23.625,0,0,0.0,,6.012551451948314e-10
23.75,24.0,23.875,0,0,0.0,,4.802669580097723e-10
24.0,24.25,24.125,0,0,0.0,,3.8362474367053977e-10
24.25,24.5,24.375,0,0,0.0,,3.064294586622235e-10
24.5,24.75,24.625,0,0,0.0,,2.447678745578126e-10
24.75,25.0,24.875,0,0,0.0,,1.9551420635960774e-10
25.0,25.25,25.125,0,0,0.0,,1.5617165838239363e-10
25.25,25.5,25.375,0,0,0.0,,1.2474585522981164e-10
25.5,25.75,25.625,0,0,0.0,,9.96437417531543e-11
25.75,26.0,25.875,0,0,0.0,,7.959282697030655e-11
26.0,26.25,26.125,0,0,0.0,,6.357667821044683e-11
26.25,26.5,26.375,0,0,0.0,,5.0783395516063954e-11
26.5,26.75,26.625,0,0,0.0,,4.0564454336609323e-11
26.75,27.0,26.875,0,0,0.0,,3.240183014360198e-11
27.0,27.25,27.125,0,0,0.0,,2.5881738428990154e-11
27.25,27.5,27.375,0,0,0.0,,2.06736588994475e-11
27.5,27.75,27.625,0,0,0.0,,1.6513580548823317e-11
27.75,28.0,27.875,0,0,0.0,,1.3190618258181847e-11
28.0,28.25,28.125,0,0,0.0,,1.0536322484313e-11
28.25,28.5,28.375,0,0,0.0,,8.416140117206387e-12
28.5,28.75,28.625,0,0,0.0,,6.7225936352942934e-12
28.75,29.0,28.875,0,0,0.0,,5.369832792220738e-12
29.0,29.25,29.125,0,0,0.0,,4.289282646064173e-12
29.25,29.5,29.375,0,0,0.0,,3.426167318371674e-12
29.5,29.75,29.625,0,0,0.0,,2.736733263369682e-12
29.75,30.0,29.875,0,0,0.0,,2.1860312876936985e-12
30.0,30.25,30.125,0,0,0.0,,1.746144885487232e-12
30.25,30.5,30.375,0,0,0.0,,1.3947750785991679e-12
30.5,30.75,30.625,0,0,0.0,,1.1141100237730187e-12
30.75,31.0,30.875,0,0,0.0,,8.899220842963097e-13
31.0,31.25,31.125,0,0,0.0,,7.108465943392627e-13
31.25,31.5,31.375,0,0,0.0,,5.67805754683892e-13
31.5,31.75,31.625,0,0,0.0,,4.535484556296168e-13
31.75,32.0,31.875,0,0,0.0,,3.6228269950967687e-13
32.0,32.25,32.125,0,0,0.0,,2.8938198936609554e-13
32.25,32.5,32.375,0,0,0.0,,2.3115079986656173e-13
32.5,32.75,32.625,0,0,0.0,,1.8463724157814323e-13
32.75,33.0,32.875,0,0,0.0,,1.4748342206587836e-13
33.0,33.25,33.125,0,0,0.0,,1.1780591823376154e-13
33.25,33.5,33.375,0,0,0.0,,9.410030074227994e-14
33.5,33.75,33.625,0,0,0.0,,7.516487059857929e-14
33.75,34.0,33.875,0,0,0.0,,6.003974192999249e-14
34.0,34.25,34.125,0,0,0.0,,4.795818288933812e-14
34.25,34.5,34.375,0,0,0.0,,3.830774803677607e-14
34.5,34.75,34.625,0,0,0.0,,3.0599231898241105e-14
34.75,35.0,34.875,0,0,0.0,,2.444186987612688e-14
35.0,35.25,35.125,0,0,0.0,,1.9523529382313048e-14
35.25,35.5,35.375,0,0,0.0,,1.5594887030895217e-14
35.5,35.75,35.625,0,0,0.0,,1.24567897916402e-14
35.75,36.0,35.875,0,0,0.0,,9.950159408381646e-15
36.0,36.25,36.125,0,0,0.0,,7.947928311245076e-15
36.25,36.5,36.375,0,0,0.0,,6.348598233258382e-15
36.5,36.75,36.625,0,0,0.0,,5.071095000983667e-15
36.75,37.0,36.875,0,0,0.0,,4.050658675214818e-15
37.0,37.25,37.125,0,0,0.0,,3.2355607023552806e-15
37.25,37.5,37.375,0,0,0.0,,2.5844816603982752e-15
37.5,37.75,37.625,0,0,0.0,,2.064416670678655e-15
37.75,38.0,37.875,0,0,0.0,,1.6490022953071313e-15
38.0,38.25,38.125,0,0,0.0,,1.3171801063950315e-15
38.25,38.5,38.375,0,0,0.0,,1.052129179941308e-15
38.5,38.75,38.625,0,0,0.0,,8.404133997389567e-16
38.75,39.0,38.875,0,0,0.0,,6.713003459329884e-16
39.0,39.25,39.125,0,0,0.0,,5.362172409313429e-16
39.25,39.5,39.375,0,0,0.0,,4.283163731614134e-16
39.5,39.75,39.625,0,0,0.0,,3.4212796887975605e-16
39.75,40.0,39.875,0,0,0.0,,2.7328291521014495e-16
40.0,40.25,40.125,0,0,0.0,,2.1829127852450866e-16
40.25,40.5,40.375,0,0,0.0,,1.7436539069126444e-16
40.5,40.75,40.625,0,0,0.0,,1.3927853497593475e-16
40.75,41.0,40.875,0,0,0.0,,1.1125206801727153e-16
41.0,41.25,41.125,0,0,0.0,,8.886525580024419e-17
41.25,41.5,41.375,0,0,0.0,,7.098325297842363e-17
41.5,41.75,41.625,0,0,0.0,,5.669957463156306e-17
41.75,42.0,41.875,0,0,0.0,,4.529014420313178e-17
42.0,42.25,42.125,0,0,0.0,,3.6176588189051895e-17
42.25,42.5,42.375,0,0,0.0,,2.889691689057926e-17
42.5,42.75,42.625,0,0,0.0,,2.3082104962948122e-17
42.75,43.0,42.875,0,0,0.0,,1.8437384567287585e-17
43.0,43.25,43.125,0,0,0.0,,1.4727302827351588e-17
43.25,43.5,43.375,0,0,0.0,,1.1763786114942785e-17
43.5,43.75,43.625,0,0,0.0,,9.396606111820324e-18
43.75,44.0,43.875,0,0,0.0,,7.505764348141458e-18
44.0,44.25,44.125,0,0,0.0,,5.995409170015511e-18
44.25,44.5,44.375,0,0,0.0,,4.788976771540475e-18
44.5,44.75,44.625,0,0,0.0,,3.825309977683317e-18
44.75,45.0,44.875,0,0,0.0,,3.055558029081112e-18
45.0,45.25,45.125,0,0,0.0,,2.4407002108457567e-18
45.25,45.5,45.375,0,0,0.0,,1.9495677917182137e-18
45.5,45.75,45.625,0,0,0.0,,1.557264000558252e-18
45.75,46.0,45.875,0,0,0.0,,1.243901944695856e-18
46.0,46.25,46.125,0,0,0.0,,9.93596491965046e-19
46.25,46.5,46.375,0,0,0.0,,7.936590123159901e-19
46.5,46.75,46.625,0,0,0.0,,6.339541583773504e-19
46.75,47.0,46.875,0,0,0.0,,5.063860785139321e-19
47.0,47.25,47.125,0,0,0.0,,4.044880171920639e-19
47.25,47.5,47.375,0,0,0.0,,3.2309449843508295e-19
47.5,47.75,47.625,0,0,0.0,,2.580794745013424e-19
47.75,48.0,47.875,0,0,0.0,,2.0614716586476173e-19
48.0,48.25,48.125,0,0,0.0,,1.646649896361783e-19
48.25,48.5,48.375,0,0,0.0,,1.3153010713555198e-19
48.5,48.75,48.625,0,0,0.0,,1.0506282556670921e-19
48.75,49.0,48.875,0,0,0.0,,8.392145005010183e-20
49.0,49.25,49.125,0,0,0.0,,6.703426964316635e-20
49.25,49.5,49.375,0,0,0.0,,5.3545229543936847e-20
49.5,49.75,49.625,0,0,0.0,,4.277053546156098e-20
49.75,50.0,49.875,0,0,0.0,,3.416399031715049e-20
50.0,50.25,50.125,0,0,0.0,,2.728930610277999e-20
50.25,50.5,50.375,0,0,0.0,,2.1797987315239903e-20
50.5,50.75,50.625,0,0,0.0,,1.7411664818657865e-20
50.75,51.0,50.875,0,0,0.0,,1.390798459384971e-20
51.0,51.25,51.125,0,0,0.0,,1.1109336038647173e-20
51.25,51.5,51.375,0,0,0.0,,8.873848427626357e-21
51.5,51.75,51.625,0,0,0.0,,7.088199118520538e-21
51.75,52.0,51.875,0,0,0.0,,5.6618689347203805e-21
52.0,52.25,52.125,0,0,0.0,,4.52255351436045e-21
52.25,52.5,52.375,0,0,0.0,,3.612498015421506e-21
52.5,52.75,52.625,0,0,0.0,,2.8855693735820372e-21
52.75,53.0,52.875,0,0,0.0,,2.3049176980054596e-21
53.0,53.25,53.125,0,0,0.0,,1.841108255173872e-21
53.25,53.5,53.375,0,0,0.0,,1.4706293462029612e-21
53.5,53.75,53.625,0,0,0.0,,1.174700438084281e-21
53.75,54.0,53.875,0,0,0.0,,9.383201299486099e-22
54.0,54.25,54.125,0,0,0.0,,7.495056933005137e-22
54.25,54.5,54.375,0,0,0.0,,5.986856365541792e-22
54.5,54.75,54.625,0,0,0.0,,4.782145013974867e-22
54.75,55.0,54.875,0,0,0.0,,3.8198529475853087e-22
55.0,55.25,55.125,0,0,0.0,,3.0511990954971403e-22
55.25,55.5,55.375,0,0,0.0,,2.437218408171349e-22
55.5,55.75,55.625,0,0,0.0,,1.9467866183807511e-22
55.75,56.0,55.875,0,0,0.0,,1.555042471696244e-22
56.0,56.25,56.125,0,0,0.0,,1.2421274452720852e-22
56.25,56.5,56.375,0,0,0.0,,9.921790680193958e-23
56.5,56.75,56.625,0,0,0.0,,7.925268109668102e-23
56.75,57.0,56.875,0,0,0.0,,6.330497854132755e-23
57.0,57.25,57.125,0,0,0.0,,5.056636889330168e-23
