case,idx,stream,tag,local_id,rate_s-1,tes_total_keV,bgo_total_keV,x,y,z,layer,local_x_m45,local_y_m45,local_z_m45,n_pix,source_file
current_prompt_final,39005,prompt,eplus,93630,0.0006792218562725798,510.9989100069999,0.0,-3.8083802277748013,-1.0279498417544033,-2.786145118938661,2.0,-0.7228293774250039,-1.0279498417544033,-4.6630335913676575,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,40406,prompt,eplus,114158,0.0006792218562725798,510.998895673,0.0,-4.343297580538359,-1.3219576380920346,-1.753459427978612,1.0,-1.831292119850638,-1.3219576380920346,-4.31105822396896,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,40698,prompt,eplus,118699,0.0006792218562725798,510.998949,0.0,-4.801111856649181,-0.611052628323245,-0.7028562177993266,0.0,-2.8979043532667386,-0.611052628323245,-3.891893148876804,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,43389,prompt,eplus,160761,0.0006792218562725798,510.9989060000001,0.0,-4.927070859843722,-0.7537554184363126,-2.305149740450833,1.0,-1.8539782032589356,-0.7537554184363126,-5.1139522295053235,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,45342,prompt,eplus,190034,0.0006792218562725798,510.99884800000007,0.0,-2.4586266035097415,1.0040484006458992,-3.4443423051850424,2.9999999999999996,0.6970062569766609,1.0040484006458992,-4.174029344471436,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
current_prompt_final,53141,prompt,eplus,68149,0.0006792218562725798,510.99888400000003,0.0,-2.970880932009973,0.050611644100032396,-3.9034642026370063,3.0,0.6594359546815043,0.050611644100032396,-4.860896060925629,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,55922,prompt,eplus,111810,0.0006792218562725798,510.9989,0.0,-3.384178009518807,-0.9127211987080011,-2.496639870487392,2.0,-0.6275842366708029,-0.9127211987080011,-4.15836620187548,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,57951,prompt,eplus,143342,0.0006792218562725798,510.998876,0.0,-3.0451622370431104,1.2489728828723021,-5.39318547325497,4.0,1.660303152708988,1.2489728828723021,-5.9668128879617495,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,58525,prompt,eplus,152134,0.0006792218562725798,510.9989,0.0,-4.215024331668698,0.41307729665987536,-5.133563672913385,3.0,0.6495053969807416,0.41307729665987536,-6.610449972559206,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,60240,prompt,eplus,178865,0.0006792218562725798,510.99897000000004,0.0,-1.8296427070288617,-1.0248318609646747,-4.5764894767057855,4.0,1.9423139777189153,-1.0248318609646747,-4.529819508296155,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
current_prompt_final,60421,prompt,eplus,181715,0.0006792218562725798,510.9989,0.0,-5.8686008108557575,1.4092791374573408,-1.446876245399941,0.0,-3.126631424772948,1.4092791374573408,-5.172823434093006,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
