case,cohort,source_name,source_file,local_id,leakage_class,has_tes_hit,stop_class,stop_process,stop_material,stop_volume,n_ia,n_cc_hits,n_segments_after_annihilation,path_length_total_cm,path_length_by_endpoint_material_cm,path_endpoint_material_sequence,cc_edep_total_keV,cc_edep_by_material_keV,shield_edep_keV,tes_edep_keV,first_primary_volume,last_primary_volume,primary_volume_sequence,path_cm_Ta/TES,path_cm_CsI,path_cm_Aluminium,path_cm_Copper,path_cm_W,path_cm_Be,path_cm_Kapton,path_cm_StainlessSteel,path_cm_LowCarbonSteel,path_cm_other,path_cm_unknown,edep_keV_Ta/TES,edep_keV_CsI,edep_keV_Aluminium,edep_keV_Copper,edep_keV_W,edep_keV_Be,edep_keV_Kapton,edep_keV_StainlessSteel,edep_keV_LowCarbonSteel,edep_keV_other,edep_keV_unknown,group
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1958,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side04,12,35,5,9.258209172927991,CsI:9.26,CsI,1033.328544,Aluminium:522; CsI:511,1033.328544,0.0,,,,0.0,9.258209172927991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99894,522.329604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
old,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,1959,,False,absorbed before TES,PHOT,CsI,CsI_Active_Shield_Side04,13,24,9,57.59451324355121,CsI:47.2; unknown:6.66; Aluminium:3.74,Aluminium -> CsI -> unknown -> CsI,520.17824092,CsI:396; Aluminium:125,520.17824092,0.0,,,,0.0,47.1956639050642,3.736006295430992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66284304305602,0.0,395.65106000000003,124.52718092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,38,,False,absorbed before TES,PHOT,CsI,CsI_TopAnnulus_Segment_02,13,38,9,46.107549619868266,CsI:41.9; Aluminium:4.16,Aluminium -> CsI,658.3793036200001,CsI:511; Aluminium:147,658.3793036199999,0.0,,,,0.0,41.94522437868396,4.162325241184309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99885100000006,147.38045262000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,45,,False,absorbed before TES,PHOT,CsI,CsI_TopAnnulus_Segment_00,9,29,5,41.268268125527015,CsI:41.3,CsI,532.261515,CsI:511; Aluminium:21.3,532.261515,0.0,,,,0.0,41.268268125527015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99886000000004,21.262655000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,54,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_05,10,31,6,24.0746291766773,CsI:24.1,CsI,542.5168680577999,CsI:511; Aluminium:31.5,542.5168680578,0.0,,,,0.0,24.0746291766773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99882529999996,31.5180427578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,70,,False,scattered/no TES,COMP,Aluminium,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,6,4,1,0.5546543909498958,Aluminium:0.555,Aluminium,256.00788,Aluminium:256,256.00788,0.0,,,,0.0,0.0,0.5546543909498958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,72,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_00,10,29,6,6.324991334248529,CsI:6.11; Aluminium:0.213,Aluminium -> CsI,616.4198362,Aluminium:323; CsI:293,616.4198362,0.0,,,,0.0,6.112433669800175,0.21255766444835428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.08835999999997,323.3314762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,106,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_01,8,25,4,17.589987587903646,CsI:17.6,CsI,543.687420091,CsI:511; Aluminium:32.7,543.687420091,0.0,,,,0.0,17.589987587903646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99891,32.688510091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,115,,False,no TES,ANNI,Aluminium,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,5,12,0,0,,,68.9834924,Aluminium:69,68.9834924,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9834924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,116,,False,absorbed before TES,PHOT,Aluminium,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,9,61,2,3.404632578543753,Aluminium:3.4,Aluminium,758.8443182999999,Aluminium:759,758.8443182999999,0.0,,,,0.0,0.0,3.404632578543753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.8443182999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,123,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_00,9,28,5,24.961243106123035,CsI:25,CsI,943.081792,CsI:511; Aluminium:432,943.0817920000002,0.0,,,,0.0,24.961243106123035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99890200000004,432.08288999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,149,,False,scattered/no TES,COMP,Aluminium,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,6,19,1,0.45198259988632394,Aluminium:0.452,Aluminium,275.301718,Aluminium:275,275.301718,0.0,,,,0.0,0.0,0.45198259988632394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.301718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,158,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_02,12,19,8,7.79234732204512,CsI:7.79,CsI,516.7830552,CsI:511; Aluminium:5.78,516.7830552,0.0,,,,0.0,7.79234732204512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99886000000004,5.7841952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,159,,False,absorbed before TES,PHOT,CsI,CsI_Bottom_Quadrant_03,15,30,11,36.930736776430464,CsI:36.9,CsI,522.82889396,CsI:511; Aluminium:11.8,522.8288939600001,0.0,,,,0.0,36.930736776430464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.998863,11.83003096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,167,,False,scattered/no TES,COMP,CsI,CsI_Bottom_Quadrant_00,6,27,1,2.305249111180827,CsI:2.31,CsI,281.19984942,CsI:262; Aluminium:19,281.19984942,0.0,,,,0.0,2.305249111180827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.17900000000003,19.020849420000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,177,,False,absorbed before TES,PHOT,CsI,CsI_Side_Segment_06,9,37,5,112.343783004484,CsI:112,CsI,816.3807405,CsI:511; Aluminium:305,816.3807405,0.0,,,,0.0,112.343783004484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.99887049999995,305.38187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
current,shielded_sample,Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,208,,False,absorbed before TES,PHOT,W,Passive_W_Liner_detector_bay_above_side_port,13,41,9,83.14114443591005,W:58.3; CsI:20.2; Copper:4.7,Copper -> CsI -> W -> CsI,724.8028879,CsI:268; Aluminium:214; W:182; Copper:60.4,724.8028879,0.0,,,,0.0,20.181074594762354,0.0,4.698618351654025,58.26145148949367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.126954,213.803913,60.3972209,182.4748,0.0,0.0,0.0,0.0,0.0,0.0,current_shielded
