source_name,VN,ZA,nuclide,old_flux_Bq,new_flux_Bq,removed
S_ADR_Magnet_Coil_Cu_28063_z008,ADR_Magnet_Coil_Cu,28063,Ni-63,2.62588467e-06,2.5972909997846394e-06,False
S_ADR_Magnet_Coil_Cu_28063_z009,ADR_Magnet_Coil_Cu,28063,Ni-63,3.67623854e-06,3.6362074016767176e-06,False
S_ADR_Magnet_Yoke_Fe_19040_z000,ADR_Magnet_Yoke_Fe,19040,K-40,4.20401039e-14,4.214017633003298e-14,True
S_ADR_Magnet_Yoke_Fe_19040_z009,ADR_Magnet_Yoke_Fe,19040,K-40,4.20401039e-14,4.214017633003298e-14,True
S_ADR_Magnet_Yoke_Fe_20045_z005,ADR_Magnet_Yoke_Fe,20045,Ca-45,0.000228780201,0.00022886194679413397,False
S_ADR_Magnet_Yoke_Fe_24051_z000,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00173409571,0.0017341472950680161,False
S_ADR_Magnet_Yoke_Fe_24051_z001,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00173409571,0.0017341472950680161,False
S_ADR_Magnet_Yoke_Fe_24051_z002,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00231212762,0.0023121964000908865,False
S_ADR_Magnet_Yoke_Fe_24051_z003,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00173409571,0.0017341472950680161,False
S_ADR_Magnet_Yoke_Fe_24051_z004,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00173409571,0.0017341472950680161,False
S_ADR_Magnet_Yoke_Fe_24051_z005,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00173409571,0.0017341472950680161,False
S_ADR_Magnet_Yoke_Fe_24051_z006,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.000578031904,0.0005780490990226918,False
S_ADR_Magnet_Yoke_Fe_24051_z007,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00289015952,0.0028902454951134594,False
S_ADR_Magnet_Yoke_Fe_24051_z009,ADR_Magnet_Yoke_Fe,24051,Cr-51,0.00115606381,0.0011560982000454433,False
S_ADR_Magnet_Yoke_Fe_25053_z000,ADR_Magnet_Yoke_Fe,25053,Mn-53,9.94941148e-11,9.949198972726545e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z001,ADR_Magnet_Yoke_Fe,25053,Mn-53,1.7056134e-10,1.7055769701816205e-10,False
S_ADR_Magnet_Yoke_Fe_25053_z002,ADR_Magnet_Yoke_Fe,25053,Mn-53,7.10672248e-11,7.106570689090512e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z003,ADR_Magnet_Yoke_Fe,25053,Mn-53,1.4213445e-10,1.4213141418180172e-10,False
S_ADR_Magnet_Yoke_Fe_25053_z004,ADR_Magnet_Yoke_Fe,25053,Mn-53,5.68537799e-11,5.685256557272281e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z005,ADR_Magnet_Yoke_Fe,25053,Mn-53,5.68537799e-11,5.685256557272281e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z006,ADR_Magnet_Yoke_Fe,25053,Mn-53,2.84268899e-11,2.8426282736362477e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z007,ADR_Magnet_Yoke_Fe,25053,Mn-53,1.1370756e-10,1.1370513134544137e-10,False
S_ADR_Magnet_Yoke_Fe_25053_z008,ADR_Magnet_Yoke_Fe,25053,Mn-53,5.68537799e-11,5.685256557272281e-11,False
S_ADR_Magnet_Yoke_Fe_25053_z009,ADR_Magnet_Yoke_Fe,25053,Mn-53,1.84774785e-10,1.847708384363422e-10,False
S_ADR_Magnet_Yoke_Fe_25054_z000,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.0007871377,0.0007872344371099266,False
S_ADR_Magnet_Yoke_Fe_25054_z001,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000847686754,0.0008477909324260938,False
S_ADR_Magnet_Yoke_Fe_25054_z002,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000484392431,0.000484451961529214,False
S_ADR_Magnet_Yoke_Fe_25054_z003,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000968784861,0.000968903922058305,False
S_ADR_Magnet_Yoke_Fe_25054_z004,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000363294323,0.00036333897089687976,False
S_ADR_Magnet_Yoke_Fe_25054_z005,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000666039592,0.0006661214464775924,False
S_ADR_Magnet_Yoke_Fe_25054_z006,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000847686754,0.0008477909324260938,False
S_ADR_Magnet_Yoke_Fe_25054_z007,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.000908235807,0.0009083474267421379,False
S_ADR_Magnet_Yoke_Fe_25054_z008,ADR_Magnet_Yoke_Fe,25054,Mn-54,0.0007871377,0.0007872344371099266,False
