VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Active_Shield_Bottom01,53126,I-126,0.0,210.0,1117152.0,0.21435870679123192,210
ADR_Magnet_Coil_Cu,29062,Cu-62,0.0,115.0,580.38,0.2124399138910486,115
ActiveShield_Al_Backplane_Liner,12027,Mg-27,0.0,112.0,567.48,0.20624454576885254,112
Thermal_60K_Al_Shield,13028,Al-28,0.0,110.0,134.484,0.20322499593550006,110
ADR_SaltPill_Proxy,64159,Gd-159,0.0,104.0,66524.4,0.19213973368715984,104
Outer_Al_Mech_Shell,14027,Si-27,0.0,95.0,4.117,0.17555141623795162,95
Vacuum_Jacket_Al,12027,Mg-27,0.0,95.0,567.48,0.17548704685912847,95
Passive_Top_W_Aperture_Annulus,74185,W-185,0.0,686.0,6488639.999999999,0.16385874537388723,686
CsI_Active_Shield_Side01,55130,Cs-130,0.0,85.0,1752.6000000000001,0.15712777587153762,85
ColdPlate_50mK,29066,Cu-66,0.0,84.0,307.2,0.15518999689620006,84
PulseTube_ColdHead_Interface_Cu,29066,Cu-66,0.0,80.0,307.2,0.14779999704400004,80
Vacuum_Jacket_Al,11024,Na-24,0.0,74.0,53852.4,0.13669761337907066,74
CsI_Active_Shield_Bottom01,55131,Cs-131,0.0,112.0,837129.6,0.13622755732716899,112
CsI_Active_Shield_Side05,55131,Cs-131,0.0,110.0,837129.6,0.13372342587295635,110
CsI_Active_Shield_Side07,55131,Cs-131,0.0,109.0,837129.6,0.1325048053276443,109
Passive_Cu_Inner_Liner,29062,Cu-62,0.0,71.0,580.38,0.13115716968237573,71
CsI_Active_Shield_Bottom03,55131,Cs-131,0.0,105.0,837129.6,0.12765530446584547,105
Passive_W_Outer_Liner,74180,W-180,0.0,69.0,1.59,0.1274791361766901,69
CsI_Active_Shield_Bottom00,55131,Cs-131,0.0,103.0,837129.6,0.12521741450732088,103
CsI_Active_Shield_Side04,55131,Cs-131,0.0,102.0,837129.6,0.12401470801083786,102
CsI_Active_Shield_Bottom02,55131,Cs-131,0.0,100.0,837129.6,0.12156566228941662,100
CsI_Active_Shield_Bottom01,53124,I-124,0.0,68.0,360806.4,0.1152942356174373,68
CsI_Active_Shield_Side03,55130,Cs-130,0.0,62.0,1752.6000000000001,0.11453897258825294,62
CsI_Active_Shield_Side06,55131,Cs-131,0.0,94.0,837129.6,0.11428260025730676,94
CsI_Active_Shield_Side00,55131,Cs-131,0.0,94.0,837129.6,0.11427540032299466,94
CsI_Active_Shield_Side01,55131,Cs-131,0.0,93.0,837129.6,0.11306045969799566,93
CsI_Active_Shield_Side07,55130,Cs-130,0.0,61.0,1752.6000000000001,0.11270036551697014,61
CsI_Active_Shield_Side02,53124,I-124,0.0,65.0,360806.4,0.1101141534168481,65
CsI_Active_Shield_Side03,55131,Cs-131,0.0,89.0,837129.6,0.10820861786403835,89
CsI_Active_Shield_Top01,55134,Cs-134,0.0,4170.0,65158740.969984,0.10548422265759863,4170
Thermal_4K_Al_Shield,13028,Al-28,0.0,57.0,134.484,0.10530749789385004,57
Vacuum_Jacket_Al_Reinforcement,13028,Al-28,0.0,57.0,134.484,0.10530749789385004,57
CsI_Active_Shield_Top07,55134,Cs-134,0.0,4132.0,65158740.969984,0.10452309063846466,4132
CsI_Active_Shield_Top00,55134,Cs-134,0.0,4083.0,65158740.969984,0.10328359202680505,4083
CsI_Active_Shield_Top06,55134,Cs-134,0.0,4030.0,65158740.969984,0.10194267148318482,4030
CsI_Active_Shield_Top03,55134,Cs-134,0.0,4026.0,65158740.969984,0.10184111096147853,4026
CsI_Active_Shield_Side07,53124,I-124,0.0,60.0,360806.4,0.10166166449439101,60
ActiveShield_Al_Backplane_Liner,11024,Na-24,0.0,55.0,53852.4,0.10149934268395244,55
CsI_Active_Shield_Top02,55134,Cs-134,0.0,3990.0,65158740.969984,0.10093093623629396,3990
