VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,566.1,nubase_ground,263,9.435,m
Passive_Cu_Liner_detector_bay_above_side_port,29066,Cu-66,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,307.2,nubase_ground,951,5.120,m
Passive_Cu_Liner_detector_bay_below_side_port,29066,Cu-66,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,307.2,nubase_ground,951,5.120,m
Passive_Cu_Liner_detector_bay_side_port_band_01,29066,Cu-66,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,307.2,nubase_ground,951,5.120,m
Passive_W_Bottom_Plate_detector_bay,74180,W-180,0.0545318712,9.762920909620641e-22,1.790314671912568e-20,removed_negligible_or_stable,1.0,5.0176584e+25,nubase_ground,4013,1.59,Ey
CsI_Bottom_Quadrant_03,52127,Te-127,0.0545318712,0.05453187115195482,0.9999999991189523,kept_rescaled,1.0,33660.0,nubase_ground,2458,9.35,h
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
DR_4K_Condenser_Cu,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
DR_Capillary_CuNi_4K_60K,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
DR_Capillary_CuNi_CP_Still,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
DR_MixingChamber_Cu,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
DR_Still_Pot_Cu,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
Passive_Cu_Liner_detector_bay_above_side_port,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
Passive_Cu_Liner_detector_bay_below_side_port,29064,Cu-64,0.054531871,0.05453187099221805,0.9999999998572953,kept_rescaled,1.0,45721.44,nubase_ground,914,12.7004,h
