production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
muminus,CsI_Bottom_Quadrant_03,53128,0,5,5,0,PASS
muminus,CsI_Bottom_Quadrant_03,55132,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_03,55134,0,3,3,0,PASS
muminus,CsI_Side_Segment_00,52119,0,1,1,0,PASS
muminus,CsI_Side_Segment_00,53124,0,1,1,0,PASS
muminus,CsI_Side_Segment_00,53126,0,1,1,0,PASS
muminus,CsI_Side_Segment_00,53132,0,1,1,0,PASS
muminus,CsI_Side_Segment_00,55131,0,1,1,0,PASS
muminus,CsI_Side_Segment_00,55134,0,4,4,0,PASS
muminus,CsI_Side_Segment_01,51122,0,1,1,0,PASS
muminus,CsI_Side_Segment_01,52123,0,1,1,0,PASS
muminus,CsI_Side_Segment_01,53125,0,1,1,0,PASS
muminus,CsI_Side_Segment_01,55132,0,5,5,0,PASS
muminus,CsI_Side_Segment_01,55134,0,1,1,0,PASS
muminus,CsI_Side_Segment_02,52127,0,1,1,0,PASS
muminus,CsI_Side_Segment_02,53124,0,1,1,0,PASS
muminus,CsI_Side_Segment_02,53126,0,1,1,0,PASS
muminus,CsI_Side_Segment_02,53128,0,2,2,0,PASS
muminus,CsI_Side_Segment_02,55132,0,2,2,0,PASS
muminus,CsI_Side_Segment_03_above_side_port,53128,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_above_side_port,53129,0,3,3,0,PASS
muminus,CsI_Side_Segment_03_above_side_port,54127,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_above_side_port,55134,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_below_side_port,51125,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_below_side_port,53125,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_below_side_port,53128,0,1,1,0,PASS
muminus,CsI_Side_Segment_03_below_side_port,55134,0,2,2,0,PASS
muminus,CsI_Side_Segment_03_rectcut_window_band,55134,0,2,2,0,PASS
