production_tag,ZA,nuclide,exc_keV_decimal,state_id,is_ground_state,would_fold_to_ground_if_exc_ignored,activity_day15_direct_Bq
eplus,53126,I-126,0,gs,True,False,0.000374885164168119549906773382
eplus,55132,Cs-132,0,gs,True,False,0.00108426689540693676602697194
muminus,4010,Be-10,0,gs,True,False,0.00000000001385999296536347625016207806
muminus,8015,O-15,0,gs,True,False,0.0006753252366339629165406059558
muminus,8019,O-19,0,gs,True,False,0.002025975709901888749621817868
muminus,9020,F-20,0,gs,True,False,0.005402601893071703332324847647
muminus,9021,F-21,0,gs,True,False,0.00337662618316981458270302978
muminus,9022,F-22,0,gs,True,False,0.003376626183169814582703029779
muminus,9023,F-23,0,gs,True,False,0.0006753252366339629165406059558
muminus,10023,Ne-23,0,gs,True,False,0.04322081514457362665859878118
muminus,10024,Ne-24,0,gs,True,False,0.07090914984656610623676362536
muminus,10025,Ne-25,0,gs,True,False,0.0168831309158490729135151489
muminus,11022,Na-22,0,gs,True,False,0.0001616583077126024130721355404
muminus,11024,Na-24,0,gs,True,False,0.2633768273385660123665557333
muminus,11025,Na-25,0,gs,True,False,0.3167275359813286078575441934
muminus,11026,Na-26,0,gs,True,False,0.06145459653369062540519514198
muminus,12023,Mg-23,0,gs,True,False,0.01012987854950944374810908934
muminus,12027,Mg-27,0,gs,True,False,2.011118554695941565457924538
muminus,13026,Al-26,0,gs,True,False,0.0000000003217374060980221344599559148
muminus,13028,Al-28,0,gs,True,False,0.001350650473267925833081211912
muminus,26059,Fe-59,0,gs,True,False,0.0001407089384995984651208021783
muminus,26062,Fe-62,0,gs,True,False,0.0006753252366339629165406059558
muminus,27057,Co-57,0,gs,True,False,0.00005068890536989733705752690496
muminus,27061,Co-61,0,gs,True,False,0.0006753252366339629165406059558
muminus,27062,Co-62,0,gs,True,False,0.001350650473267925833081211912
muminus,27064,Co-64,0,gs,True,False,0.0006753252366339629165406059558
muminus,28063,Ni-63,0,gs,True,False,0.0000007597275491178155389635648529
muminus,28065,Ni-65,0,gs,True,False,0.0006753252366339629165406059558
muminus,29062,Cu-62,0,gs,True,False,0.00337662618316981458270302978
muminus,29064,Cu-64,0,gs,True,False,0.0006753252346540412812810649609
muminus,29066,Cu-66,0,gs,True,False,0.0006753252366339629165406059558
muminus,40088,Zr-88,0,gs,True,False,0.0000791541715797162823615853395
muminus,40089,Zr-89,0,gs,True,False,0.0006473659052265362298482949388
muminus,41091,Nb-91,0,gs,True,False,0.00000002826971772724808072567748628
muminus,41092,Nb-92,0,gs,True,False,0.0000000000005540002906054662175303626226
muminus,51122,Sb-122,0,gs,True,False,0.001320949745052970485585858149
muminus,51124,Sb-124,0,gs,True,False,0.0002142392842669418436919220296
muminus,51125,Sb-125,0,gs,True,False,0.000006935353097103601644552016251
muminus,52119,Te-119,0,gs,True,False,0.002025975351343766342870726542
muminus,52121,Te-121,0,gs,True,False,0.0002811648243619034852184812205
muminus,52123,Te-123,0,gs,True,False,0
muminus,52127,Te-127,0,gs,True,False,0.005402601893057831071444007433
muminus,53124,I-124,0,gs,True,False,0.001857960603938168774581838613
muminus,53125,I-125,0,gs,True,False,0.0006507189634162081838613476251
muminus,53126,I-126,0,gs,True,False,0.004104409852921784033690625408
muminus,53128,I-128,0,gs,True,False,0.0216104075722868133292993906
muminus,53129,I-129,0,gs,True,False,0.000000000007146397781794009730086009422
muminus,53131,I-131,0,gs,True,False,0.0004904694377864286640446038812
muminus,53132,I-132,0,gs,True,False,0.0006753252366339629165406059558
muminus,54125,Xe-125,0,gs,True,False,0.0006753249821640930247006958551
muminus,54127,Xe-127,0,gs,True,False,0.0003360520715355304004408523144
muminus,54133,Xe-133,0,gs,True,False,0.002328856836470594718416389334
muminus,55131,Cs-131,0,gs,True,False,0.002221992603875436597765483856
muminus,55132,Cs-132,0,gs,True,False,0.01187103719769873660154730519
muminus,55134,Cs-134,0,gs,True,False,0.0003235918161455280705687859274
muminus,72181,Hf-181,0,gs,True,False,0.0001468904543956712530254570601
muminus,72184,Hf-184,0,gs,True,False,0.0006753252366339629165406059558
muminus,73174,Ta-174,0,gs,True,False,0.0006753252366339629165406059558
muminus,73175,Ta-175,0,gs,True,False,0.0006753252366017162715563815533
muminus,73176,Ta-176,0,gs,True,False,0.004051951419803614610796559623
muminus,73177,Ta-177,0,gs,True,False,0.002001776428697161878160522108
muminus,73178,Ta-178,0,gs,True,False,0.0006753252366339629165406059558
muminus,73179,Ta-179,0,gs,True,False,0.00004192143868201181008773825476
muminus,73180,Ta-180,0,gs,True,False,0.0006753252366339283398884902969
muminus,73182,Ta-182,0,gs,True,False,0.0001755124005608534625275532697
muminus,73183,Ta-183,0,gs,True,False,0.005873965392746716568699485673
muminus,73184,Ta-184,0,gs,True,False,0.001350650473267453645675757445
muminus,73185,Ta-185,0,gs,True,False,0.0006753252366339629165406059558
muminus,73186,Ta-186,0,gs,True,False,0.0006753252366339629165406059558
muminus,74181,W-181,0,gs,True,False,0.00005562503659020889835544798375
muminus,74183,W-183,0,gs,True,False,0
muplus,13026,Al-26,0,gs,True,False,0.00000000002701323321320485647819599417
muplus,41091,Nb-91,0,gs,True,False,0.00000002848247533660905609077183411
muplus,53125,I-125,0,gs,True,False,0.0002185387559152701320739439902
muplus,53126,I-126,0,gs,True,False,0.001503745309059754903528390352
muplus,55132,Cs-132,0,gs,True,False,0.002174614273353552510806575732
muplus,74183,W-183,0,gs,True,False,0
n,2006,He-6,0,gs,True,False,0.0006787801777182261301859654053
n,3008,Li-8,0,gs,True,False,0.0006787801777182261301859654053
n,4010,Be-10,0,gs,True,False,0.0000000000278618004417981212722241115
