production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,state_class,dat_production_count_raw,rpip_count,coverage_fraction,activity_day15_direct_Bq,source_files_count,rpip_volume_count,rpip_volume_examples,centroid_x_cm,centroid_y_cm,centroid_z_cm,effective_sample_size,dominant_cproc,dominant_sproc,dominant_prim,status
p,CsI_Side_Segment_00,CsI_Side_Segment_00,51114,Sb-114,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,0.1038376,8.937785,-19.81981,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,52121,Te-121,0,gs,EMITTED_CANDIDATE,1,1,1,0.000282505456956634238987719009,1,1,CsI_Side_Segment_00,0.2648563,9.07973,-19.8427,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,52123,Te-123,0,gs,STABLE,1,1,1,0,1,1,CsI_Side_Segment_00,10.37382,2.083792,-14.37438,1,neutronInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53119,I-119,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,11.1941,4.324947,-12.22685,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53121,I-121,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,-0.5462034,10.51306,-16.63428,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53122,I-122,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,2.793047,6.869534,-19.18621,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53124,I-124,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006222732053036714728028873459,1,1,CsI_Side_Segment_00,9.37627,1.124303,-15.98679,1,neutronInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53126,I-126,0,gs,EMITTED_CANDIDATE,4,4,1,0.001499629179714946656162785727,3,1,CsI_Side_Segment_00,9.3100875,9.18367575,-10.9818088,4,protonInelastic:2,RadioactiveDecay:4,proton:4,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,53128,I-128,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090560688750601360754705,2,1,CsI_Side_Segment_00,11.920625,1.5208181,-10.987285,2,protonInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,54122,Xe-122,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785425261358250194572859139,1,1,CsI_Side_Segment_00,6.226335,10.05477,-10.39654,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,54123,Xe-123,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,6.79085,4.566466,-13.24636,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,54125,Xe-125,0,gs,EMITTED_CANDIDATE,3,3,1,0.002035635073983474097551740774,2,1,CsI_Side_Segment_00,4.25360413,8.00144967,-14.5628107,3,protonInelastic:2,RadioactiveDecay:3,proton:3,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,55128,Cs-128,0,gs,EMITTED_CANDIDATE,2,2,1,0.001357090560688750601360754705,2,1,CsI_Side_Segment_00,2.03944305,4.2318728,-18.010445,2,neutronInelastic:1,RadioactiveDecay:2,proton:2,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,55130,Cs-130,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,11.05125,10.41821,-9.214346,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,55131,Cs-131,0,gs,EMITTED_CANDIDATE,4,4,1,0.001786069896436577390464131757,4,1,CsI_Side_Segment_00,7.41242958,4.16916683,-14.5149888,4,protonInelastic:2,RadioactiveDecay:4,proton:4,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,56126,Ba-126,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,8.408955,5.092628,-12.56312,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,56129,Ba-129,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_00,4.291944,10.0234,-16.62801,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_00,CsI_Side_Segment_00,56131,Ba-131,0,gs,EMITTED_CANDIDATE,1,1,1,0.0004033679240828530250566415673,1,1,CsI_Side_Segment_00,3.678826,8.94682,-13.40863,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,49111,In-111,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006618851661812692325177897609,1,1,CsI_Side_Segment_01,-2.713277,17.16422,-2.861776,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,50113,Sn-113,0,gs,EMITTED_CANDIDATE,1,1,1,0.00005861714429121895231251624268,1,1,CsI_Side_Segment_01,-0.5945573,13.83675,-15.9986,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,51113,Sb-113,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,4.019233,12.87592,-7.949165,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,51115,Sb-115,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-0.3106442,16.85317,-4.856778,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,51116,Sb-116,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-2.077167,17.64729,-4.176122,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,51117,Sb-117,0,gs,EMITTED_CANDIDATE,1,1,1,0.0006785452803443753006803773526,1,1,CsI_Side_Segment_01,-3.898733,16.92481,-12.16225,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
p,CsI_Side_Segment_01,CsI_Side_Segment_01,52118,Te-118,0,gs,EMITTED_CANDIDATE,1,1,1,0.0005585942880759666047154825712,1,1,CsI_Side_Segment_01,-6.065718,16.08389,-12.22193,1,protonInelastic:1,RadioactiveDecay:1,proton:1,PASS
