source_family,local_id,source_file,tes_energy_keV,init_energy_keV,theta_local_deg,phi_local_deg,theta_from_global_plus_z_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_recorded_volume,first_recorded_material,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,side_compton_class
eplus,55140,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,118.797,70.68492309143389,15.462387050890017,114.158938628758,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,-47.80923,1.97362,40.23165,0.87704,0.2516,-0.40927,single
eplus,67424,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,4.266,125.34201768588736,77.00417582258784,122.59791946067787,side_wall,side,side_phi05_225deg,225.73234911218265,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-0.68884,-54.51178,38.12343,-0.27932,0.79482,-0.53874,single
eplus,81816,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99894,172.683,54.96231305581762,326.25218925717735,94.32651147841915,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,TP_L1_00007,tes,-64.78826,-8.01617,33.27407,0.88736,-0.45486,-0.07544,veto
eplus,113054,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989532108,1.264,73.06209921791039,305.3646710544395,100.69028453925935,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,TP_L0_00237,tes,-48.93887,25.6585,47.93623,0.59751,-0.78011,-0.1855,keep
eplus,143314,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99892,233.085,127.8124638721426,310.8328719158656,143.0132785969618,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,TP_L0_00046,tes,-13.37255,1.18751,80.24261,-0.06825,-0.59775,-0.79878,single
eplus,201276,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.99893,0.41,105.13239687521401,217.6406955766612,69.15010233716319,top,top,top_phi07_315deg,310.77106176979447,right_lower,TP_L4_00113,tes,56.27275,21.05929,-23.7107,-0.7251,-0.58953,0.35592,veto
eplus,19036,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99888400000003,3.552,81.52843760330069,208.80544241019055,44.1910537480445,side_wall,side,side_phi00_000deg,349.33831538396356,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,38.61802,12.83633,-46.44608,-0.50868,-0.47658,0.71702,keep
eplus,25293,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99889999999994,156.107,117.22000459381012,144.7079911028141,79.05883232640815,side_wall,side,side_phi07_315deg,312.96600550929327,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,45.8748,-40.16594,-20.47679,-0.83667,0.51376,0.1898,single
eplus,36215,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99895300000003,33.882,121.63185537491337,180.55046466017222,76.63349169379114,top,top,top_phi02_090deg,80.01249982607035,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,62.48022,22.5837,-10.20892,-0.97288,-0.00818,0.23118,keep
eplus,70159,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99886000000004,8.178,158.63964898733957,234.4086554542161,120.57324546527992,top,top,top_phi01_045deg,65.49812601020432,right_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,53.04056,37.32952,23.5485,-0.80843,-0.29619,-0.50864,single
eplus,120181,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99892,15.958,47.041551859437774,304.4245376823644,79.08688578363967,side_wall,side,side_phi03_135deg,139.95833935508577,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-44.3232,36.60712,3.96739,0.77442,-0.60368,0.18932,single
eplus,128882,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99896,11.934,99.4009048523466,34.78450759119331,133.50749666622957,side_wall,side,side_phi06_270deg,275.4090562430125,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-28.78895,-55.57706,24.09401,0.45745,0.56283,-0.68845,single
eplus,131723,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.9988953999999,14.582,104.5171953258521,105.38433669363641,89.75076138537426,side_wall,side,side_phi06_270deg,276.91581245853797,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,9.38887,-62.33677,-8.84127,-0.35885,0.93338,0.00435,single
eplus,144727,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.998917,7309.667,100.66852757806053,85.29694018087591,100.82904269398688,side_wall,side,side_phi06_270deg,250.77284695382122,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-7.65293,-61.23633,9.40027,-0.07393,0.97941,-0.18788,keep
eplus,156362,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99889500000006,225.291,119.40693002127557,206.3269681906483,78.17573894974623,top,top,top_phi02_090deg,111.36899164330453,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,50.9296,44.76676,-0.10272,-0.8993,-0.38635,0.20491,keep
eplus,163455,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99890000000005,0.861,122.19909597863428,122.02270489211686,93.41169652924694,side_wall,side,side_phi00_000deg,6.127332137258569,right_lower,TP_L5_00006,tes,49.03178,-43.50991,-31.31691,-0.69407,0.71744,-0.05951,keep
eplus,177789,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,510.99886000000004,70.021,76.47799278987424,278.3150915994104,86.22089834941688,side_wall,side,side_phi03_135deg,128.26040960311602,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-23.52179,54.87891,7.72614,0.26476,-0.96206,0.06591,keep
eplus,61301,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99893199999997,2232.775,143.66823400954098,159.31443249961572,100.2369875286342,side_wall,side,side_phi00_000deg,3.812581217548663,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,69.05237,-11.66529,-20.95716,-0.96157,0.20928,-0.17772,single
eplus,106227,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99890000000005,13.147,60.19755780334112,229.8788348005883,41.68264905034091,side_wall,side,side_phi02_090deg,78.63835026234918,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-9.02853,44.43771,-37.16229,-0.04396,-0.66355,0.74684,keep
eplus,168995,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99891799999995,123.533,72.72679811999117,287.7839239495576,89.78628624277998,side_wall,side,side_phi03_135deg,130.79619629056785,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-29.15577,50.60919,10.00014,0.41619,-0.90927,0.00373,single
eplus,197516,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99891,14.504,105.49821739586395,156.62768476023894,64.11669236994442,side_wall,side,side_phi07_315deg,318.1141994931429,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,43.08702,-32.69326,-32.31655,-0.81443,0.38228,0.43654,single
eplus,202853,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.998843,6.003,99.27735179761329,100.02114753056549,89.5737142949165,side_wall,side,side_phi06_270deg,288.3862270765634,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,12.92977,-59.59861,-7.79313,-0.23543,0.97186,0.00744,single
eplus,209358,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,510.99888699999997,114.596,103.14351357276068,178.21400838304316,58.16607548697891,side_wall,side,side_phi00_000deg,18.96097014337739,right_lower,GeoOpt_S1_PlasticFullWrap_BottomCap_5mm,geoopt_plastic_active,37.22303,7.81014,-57.023,-0.84904,0.03035,0.52746,single
eplus,9911,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99888,1.231,43.220113257274505,34.14465048524635,83.42349966114281,side_wall,side,side_phi03_135deg,149.48610907913206,left_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-61.0021,1.50095,-0.59952,0.91605,0.38437,0.11453,keep
eplus,41264,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99886,17.71,62.357952873247335,196.12401879624798,21.59342632279856,envelope_miss,miss_current_outer_envelope,phi00_000deg,,right_lower,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,37.74993,18.8252,-45.26736,-0.2737,-0.24602,0.92982,single
eplus,51896,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.998865,28.901,72.12582287184638,37.16259214057976,108.6194469988234,side_wall,side,side_phi05_225deg,219.37669296288377,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-42.20939,-34.62776,19.87169,0.75334,0.57492,-0.31928,keep
eplus,69124,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99893399999996,1.901,76.88520907549625,3.655235191177163,121.79072635580853,side_window,side,side_neg_x_window_axis_pm15deg,175.71199890755992,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-56.14024,0.38491,20.86587,0.84771,0.06209,-0.52682,keep
eplus,80763,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99888999999996,48.592,113.02818706332978,190.2035420701306,68.66265433121234,top,top,top_phi06_270deg,275.623458176816,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,63.23848,-13.7068,-18.48038,-0.91708,-0.16303,0.36386,single
eplus,154485,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.9989,10.262,111.50471042305445,175.49304878698376,66.6317431971315,side_wall,side,side_phi00_000deg,359.0863355018087,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,52.67865,-3.13462,-35.03062,-0.91506,0.07311,0.39664,single
eplus,164289,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99887,3.937,169.16412281450394,303.5098027293647,140.16467746154964,top,top,top_phi04_180deg,201.03849874224056,right_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,26.86972,1.18917,64.28188,-0.62111,-0.15675,-0.76789,veto
eplus,182558,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99884099999997,449.892,154.71021002812205,106.91224077514298,123.46733596917987,top,top,top_phi05_225deg,219.1716682706403,right_upper,TP_L0_00360,tes,37.2518,-33.31379,45.39836,-0.72721,0.40872,-0.55146,single
