VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Side_Segment_06,49109,In-109,0.0,0.125,15120.0,0.0006790304531577632,1
CsI_Side_Segment_06,52117,Te-117,0.0,0.125,3720.0,0.0006790304531577632,1
CsI_Side_Segment_07,51116,Sb-116,0.0,0.125,948.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_07,54121,Xe-121,0.0,0.125,2406.0,0.0006790304531577632,1
ActiveShield_Flex_Kapton_detector_bay_side_port_band_00,8015,O-15,0.0,0.125,122.24,0.0006790304531577632,1
CsI_Bottom_Quadrant_00,55126,Cs-126,0.0,0.125,98.39999999999999,0.0006790304531577632,1
CsI_Bottom_Quadrant_03,51113,Sb-113,0.0,0.125,400.2,0.0006790304531577632,1
CsI_Side_Segment_01,49112,In-112,0.0,0.125,898.2,0.0006790304531577632,1
CsI_Side_Segment_02,56127,Ba-127,0.0,0.125,762.0,0.0006790304531577632,1
CsI_Side_Segment_07,54120,Xe-120,0.0,0.125,2400.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_04,51117,Sb-117,0.0,0.125,10080.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_06,52116,Te-116,0.0,0.125,8964.0,0.0006790304531577632,1
Passive_W_Liner_detector_bay_below_side_port,75178,Re-178,0.0,0.125,792.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_03,51115,Sb-115,0.0,0.125,1926.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_05,56129,Ba-129,0.0,0.125,8028.0,0.0006790304531577632,1
CsI_Side_Segment_03_below_side_port,54123,Xe-123,0.0,0.125,7488.0,0.0006790304531577632,1
CsI_Side_Segment_04_below_side_port,51116,Sb-116,0.0,0.125,948.0,0.0006790304531577632,1
CsI_Side_Segment_04_below_side_port,54120,Xe-120,0.0,0.125,2400.0,0.0006790304531577632,1
CsI_Side_Segment_07,56129,Ba-129,0.0,0.125,8028.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_03,52116,Te-116,0.0,0.125,8964.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_05,53121,I-121,0.0,0.125,7632.0,0.0006790304531577632,1
ActiveShield_Al_Backplane_detector_bay_side_port_band_00,9018,F-18,0.0,0.125,6586.2,0.0006790304531577632,1
CsI_Bottom_Quadrant_00,56129,Ba-129,0.0,0.125,8028.0,0.0006790304531577632,1
CsI_Side_Segment_01,52116,Te-116,0.0,0.125,8964.0,0.0006790304531577632,1
CsI_Side_Segment_02,54121,Xe-121,0.0,0.125,2406.0,0.0006790304531577632,1
CsI_Side_Segment_04_above_side_port,47108,Ag-108,0.0,0.125,142.20000000000002,0.0006790304531577632,1
CsI_Side_Segment_04_below_side_port,56126,Ba-126,0.0,0.125,6000.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_03,54123,Xe-123,0.0,0.125,7488.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_06,56127,Ba-127,0.0,0.125,762.0,0.0006790304531577632,1
CsI_TopAnnulus_Segment_07,51120,Sb-120,0.0,0.125,953.4000000000001,0.0006790304531577632,1
DR_Continuous_HEX_CuNi_CP_to_Still,26053,Fe-53,0.0,0.125,510.59999999999997,0.0006790304531577632,1
DR_MixingChamber_Cu,30063,Zn-63,0.0,0.125,2308.2,0.0006790304531577632,1
G10_Support_Ring_60K_Top,6011,C-11,0.0,0.125,1223.4,0.0006790304531577632,1
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9018,F-18,0.0,0.125,6586.2,0.0006790304531577632,1
DR_4K_Condenser_Cu,30062,Zn-62,0.0,0.125,33069.6,0.0006790304531566805,1
CsI_TopAnnulus_Segment_05,52127,Te-127,0.0,0.125,33660.0,0.0006790304531560196,1
CsI_TopAnnulus_Segment_04,52119,Te-119,0.0,0.125,57780.0,0.0006790303329826382,1
CsI_TopAnnulus_Segment_01,52119,Te-119,0.0,0.125,57780.0,0.0006790303329826382,1
CsI_Side_Segment_03_below_side_port,54125,Xe-125,0.0,0.125,60839.99999999999,0.0006790301904844382,1
CsI_TopAnnulus_Segment_04,54125,Xe-125,0.0,0.125,60839.99999999999,0.0006790301904844382,1
CsI_Side_Segment_02,54125,Xe-125,0.0,0.125,60839.99999999999,0.0006790301904844382,1
CsI_TopAnnulus_Segment_05,54125,Xe-125,0.0,0.125,60839.99999999999,0.0006790301904844382,1
CsI_Side_Segment_01,54122,Xe-122,0.0,0.125,72360.0,0.0006790276969799013,1
CsI_Side_Segment_07,54122,Xe-122,0.0,0.125,72360.0,0.0006790276969799013,1
CsI_Side_Segment_04_above_side_port,55129,Cs-129,0.0,0.125,115416.00000000001,0.0006787475487144803,1
ColdPlate_4K,27061,Co-61,0.0,0.125,5940.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,49114,In-114,0.0,0.125,71.9,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,51114,Sb-114,0.0,0.125,209.4,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,52129,Te-129,0.0,0.125,4176.0,0.0006784076415836748,1
CsI_Side_Segment_00,54120,Xe-120,0.0,0.125,2400.0,0.0006784076415836748,1
CsI_Side_Segment_01,51118,Sb-118,0.0,0.125,216.0,0.0006784076415836748,1
CsI_Side_Segment_02,51116,Sb-116,0.0,0.125,948.0,0.0006784076415836748,1
CsI_Side_Segment_03_below_side_port,52116,Te-116,0.0,0.125,8964.0,0.0006784076415836748,1
CsI_Side_Segment_03_below_side_port,52117,Te-117,0.0,0.125,3720.0,0.0006784076415836748,1
CsI_Side_Segment_03_side_port_band_00,55130,Cs-130,0.0,0.125,1752.6000000000001,0.0006784076415836748,1
CsI_Side_Segment_04_above_side_port,51115,Sb-115,0.0,0.125,1926.0,0.0006784076415836748,1
CsI_Side_Segment_04_below_side_port,53121,I-121,0.0,0.125,7632.0,0.0006784076415836748,1
CsI_Side_Segment_06,53120,I-120,0.0,0.125,4896.0,0.0006784076415836748,1
CsI_Side_Segment_07,55127,Cs-127,0.0,0.125,22500.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_01,55126,Cs-126,0.0,0.125,98.39999999999999,0.0006784076415836748,1
CsI_TopAnnulus_Segment_02,55128,Cs-128,0.0,0.125,218.4,0.0006784076415836748,1
CsI_TopAnnulus_Segment_05,51116,Sb-116,0.0,0.125,948.0,0.0006784076415836748,1
DR_Capillary_CuNi_Still_4K,29062,Cu-62,0.0,0.125,580.38,0.0006784076415836748,1
Window,6011,C-11,0.0,0.125,1223.4,0.0006784076415836748,1
ColdPlate_MXC_50mK_SD_anchor,21044,Sc-44,0.0,0.125,14292.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_00,48105,Cd-105,0.0,0.125,3330.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_01,54123,Xe-123,0.0,0.125,7488.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_02,52117,Te-117,0.0,0.125,3720.0,0.0006784076415836748,1
CsI_Bottom_Quadrant_02,55126,Cs-126,0.0,0.125,98.39999999999999,0.0006784076415836748,1
CsI_Side_Segment_00,51117,Sb-117,0.0,0.125,10080.0,0.0006784076415836748,1
CsI_Side_Segment_04_above_side_port,50110,Sn-110,0.0,0.125,14796.000000000002,0.0006784076415836748,1
CsI_Side_Segment_04_above_side_port,53120,I-120,0.0,0.125,4896.0,0.0006784076415836748,1
CsI_Side_Segment_05,50109,Sn-109,0.0,0.125,1080.0,0.0006784076415836748,1
CsI_Side_Segment_06,51113,Sb-113,0.0,0.125,400.2,0.0006784076415836748,1
CsI_Side_Segment_06,51117,Sb-117,0.0,0.125,10080.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_00,53122,I-122,0.0,0.125,217.79999999999998,0.0006784076415836748,1
CsI_TopAnnulus_Segment_01,51117,Sb-117,0.0,0.125,10080.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_02,49106,In-106,0.0,0.125,372.0,0.0006784076415836748,1
CsI_TopAnnulus_Segment_02,55126,Cs-126,0.0,0.125,98.39999999999999,0.0006784076415836748,1
CsI_TopAnnulus_Segment_04,49112,In-112,0.0,0.125,898.2,0.0006784076415836748,1
CsI_TopAnnulus_Segment_04,53121,I-121,0.0,0.125,7632.0,0.0006784076415836748,1
