bytes	GiB	path
262401917	0.244381	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz
262401917	0.244381	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz
261389419	0.243438	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz
261389419	0.243438	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz
205936753	0.191794	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
205936753	0.191794	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
204904246	0.190832	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
204116261	0.190098	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
204116261	0.190098	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
203944852	0.189938	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
203766279	0.189772	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
203614138	0.189630	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
203614138	0.189630	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
203489695	0.189515	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
203489695	0.189515	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
203051125	0.189106	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
202491304	0.188585	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
202298173	0.188405	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
201980693	0.188109	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_buildup_equiv2602_aligned/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
201366282	0.187537	/home/ubuntu/codex_tes_511_sim/new_geo_re/runs/step02_instant_equiv2602_aligned/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
184399879	0.171736	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
184399879	0.171736	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
184139870	0.171494	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
184139870	0.171494	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep01_part01.inc1.id1.sim.gz
183901817	0.171272	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
183901817	0.171272	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
183474813	0.170874	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
183474813	0.170874	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
183433384	0.170836	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
183433384	0.170836	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
183346011	0.170754	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
183346011	0.170754	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep05_part01.inc1.id1.sim.gz
183211837	0.170629	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
183211837	0.170629	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
182950757	0.170386	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
182950757	0.170386	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
182791598	0.170238	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
182791598	0.170238	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
182665970	0.170121	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
182665970	0.170121	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
182586707	0.170047	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
182586707	0.170047	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep08_part01.inc1.id1.sim.gz
182466448	0.169935	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
182466448	0.169935	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz
182265354	0.169748	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
182265354	0.169748	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_p_fullsphere20_rep07_part01.inc1.id1.sim.gz
182139832	0.169631	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
182139832	0.169631	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
182139832	0.169631	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep03_part01.inc1.id1.sim.gz
182139832	0.169631	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep02_part01.inc1.id1.sim.gz
180629842	0.168225	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
180629842	0.168225	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_p_fullsphere20_rep06_part01.inc1.id1.sim.gz
162226176	0.151085	/home/ubuntu/compare_mcnp_megalib/test/minimal_full_run_tt/delayed_runs/n/delayed_n.inc1.id1.sim.gz
158256575	0.147388	/home/ubuntu/compare_mcnp_megalib/test/minimal_full_run/delayed_runs/n/delayed_n.inc1.id1.sim.gz
117479078	0.109411	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
117479078	0.109411	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
117012808	0.108977	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
117012808	0.108977	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
117012808	0.108977	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
117012808	0.108977	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
116867219	0.108841	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
116867219	0.108841	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
116857153	0.108832	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
116857153	0.108832	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
116857153	0.108832	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
116857153	0.108832	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
116749939	0.108732	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
116749939	0.108732	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
116260102	0.108276	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
116260102	0.108276	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
116164287	0.108186	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
116164287	0.108186	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz
116050274	0.108080	/home/ubuntu/codex_tes_511_sim/fix/simulation/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
116050274	0.108080	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/instant_equiv2602_cmfix/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
115638002	0.107696	/home/ubuntu/codex_tes_511_sim/fix/simulation/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
115638002	0.107696	/home/ubuntu/codex_tes_511_sim/COSMOSRAY_BALLOON_SIM/production_runs/buildup_equiv2602_cmfix/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
