scope,energy_bin_low_keV,energy_bin_high_keV,two_hit_events
w2,101,102,0
w2,102,103,0
w2,103,104,0
w2,104,105,0
w2,105,106,0
w2,106,107,0
w2,107,108,0
w2,108,109,0
w2,109,110,0
w2,110,111,0
w2,111,112,0
w2,112,113,0
w2,113,114,0
w2,114,115,0
w2,115,116,0
w2,116,117,0
w2,117,118,0
w2,118,119,0
w2,119,120,0
w2,120,121,0
w2,121,122,0
w2,122,123,0
w2,123,124,0
w2,124,125,0
w2,125,126,0
w2,126,127,0
w2,127,128,0
w2,128,129,0
w2,129,130,0
w2,130,131,0
w2,131,132,0
w2,132,133,0
w2,133,134,0
w2,134,135,0
w2,135,136,0
w2,136,137,0
w2,137,138,0
w2,138,139,0
w2,139,140,0
w2,140,141,0
w2,141,142,0
w2,142,143,0
w2,143,144,0
w2,144,145,0
w2,145,146,0
w2,146,147,0
w2,147,148,0
w2,148,149,0
w2,149,150,0
w2,150,151,0
w2,151,152,0
w2,152,153,0
w2,153,154,0
w2,154,155,0
w2,155,156,0
w2,156,157,0
w2,157,158,0
w2,158,159,0
w2,159,160,0
w2,160,161,0
w2,161,162,0
w2,162,163,0
w2,163,164,0
w2,164,165,0
w2,165,166,0
w2,166,167,0
w2,167,168,0
w2,168,169,0
w2,169,170,0
w2,170,171,0
w2,171,172,0
w2,172,173,0
w2,173,174,0
w2,174,175,0
w2,175,176,0
w2,176,177,0
w2,177,178,0
w2,178,179,0
w2,179,180,0
w2,180,181,0
w2,181,182,0
w2,182,183,0
w2,183,184,0
w2,184,185,0
w2,185,186,0
w2,186,187,0
w2,187,188,0
w2,188,189,0
w2,189,190,0
w2,190,191,0
w2,191,192,0
w2,192,193,0
w2,193,194,0
w2,194,195,0
w2,195,196,0
w2,196,197,0
w2,197,198,0
w2,198,199,0
w2,199,200,0
