production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,activity_day15_direct_Bq,half_life_s,half_life_bin,near_focal_plane_heuristic,beta_plus_relevant_heuristic,line_or_cascade_risk_status
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,Al-26,0,gs,0.00000000008083679732959707369912772942,22626799200000,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,P-30,0,gs,0.002036112491142910663528338614,150,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,9018,F-18,0,gs,0.0006787041637143035545094462046,6584.04,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11022,Na-22,0,gs,0.000007384870456198248807516784355,82109719.44,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11024,Na-24,0,gs,0.0006787041251925757230235456049,53841.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,12027,Mg-27,0,gs,0.0006787041637143035545094462046,566.1,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,13026,Al-26,0,gs,0.0000000001077823964394627649321703059,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,15029,P-29,0,gs,0.0006787041637143035545094462046,4.102,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,15030,P-30,0,gs,0.001357408327428607109018892409,150,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,Window,14027,Si-27,0,gs,0.0006787041637143035545094462046,4.117,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,Window,15030,P-30,0,gs,0.0006787041637143035545094462046,150,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Shield_60K_Al_side_window_side_wall_below_side_port,Window,13025,Al-25,0,gs,0.0006787041637143035545094462046,7.1666,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Still_Shield_Al_side_window_side_wall_below_side_port,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,11024,Na-24,0,gs,0.0006787041251925757230235456049,53841.6,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9018,F-18,0,gs,0.0006787041637143035545094462046,6584.04,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11022,Na-22,0,gs,0.00001476974091239649761503356871,82109719.44,gt_5us,False,True,BETA_PLUS_HEURISTIC
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,0.001357408327428607109018892409,566.1,gt_5us,False,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,Al-26,0,gs,0.0000000002155647928789255298643406117,22626799200000,gt_5us,False,True,BETA_PLUS_HEURISTIC
