VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
Passive_Cu_Liner_detector_bay_side_port_band_01,29066,Cu-66,0.0,1.0,307.2,0.05453187115209484,1
Passive_W_Bottom_Plate_detector_bay,74180,W-180,0.0,1.0,1.59,0.05453187115209484,1
CsI_Bottom_Quadrant_03,52127,Te-127,0.0,1.0,33660.0,0.05453187115195482,1
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
DR_4K_Condenser_Cu,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
DR_Capillary_CuNi_4K_60K,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
DR_Capillary_CuNi_CP_Still,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
DR_MixingChamber_Cu,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
DR_Still_Pot_Cu,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
Passive_Cu_Liner_detector_bay_above_side_port,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
Passive_Cu_Liner_detector_bay_below_side_port,29064,Cu-64,0.0,1.0,45720.0,0.05453187099231696,1
CsI_Side_Segment_04_side_port_band_00,52119,Te-119,0.0,1.0,57780.0,0.05453186150101895,1
Passive_W_Liner_detector_bay_side_port_band_00,74187,W-187,0.0,1.0,85392.0,0.05453039918413193,1
W_Side_Aperture_Sleeve_collimator_ZP_panel,74187,W-187,0.0,1.0,85392.0,0.05453039918413193,1
CsI_Bottom_Quadrant_00,55129,Cs-129,0.0,1.0,115416.00000000001,0.05450915153977448,1
CsI_Side_Segment_05,55134,Cs-134,0.0,73.0,65158740.969984,0.05450555317724777,73
ColdPlate_Still_0p7K,29061,Cu-61,0.0,1.0,11998.800000000001,0.054192611379364534,1
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,13025,Al-25,0.0,1.0,7.1666,0.054192611379364534,1
Passive_W_Bottom_Plate_detector_bay,74174,W-174,0.0,1.0,1992.0000000000002,0.054192611379364534,1
Window,9018,F-18,0.0,1.0,6586.2,0.054192611379364534,1
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,Si-27,0.0,1.0,4.117,0.054192611379364534,1
CsI_Bottom_Quadrant_00,53123,I-123,0.0,1.0,47772.0,0.054192611010098944,1
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10025,Ne-25,0.0,1.0,0.602,0.05378050026621348,1
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11025,Na-25,0.0,1.0,59.1,0.05378050026621348,1
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,10024,Ne-24,0.0,1.0,202.79999999999998,0.05378050026621348,1
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10024,Ne-24,0.0,1.0,202.79999999999998,0.05378050026621348,1
Plate_300K_Top_Service_Lid,10024,Ne-24,0.0,1.0,202.79999999999998,0.05378050026621348,1
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11026,Na-26,0.0,1.0,1.07128,0.05378050026621348,1
Plate_300K_Top_Service_Lid,14027,Si-27,0.0,1.0,4.117,0.05316575487397058,1
W_Side_Aperture_Sleeve_collimator_YM_panel,73177,Ta-177,0.0,1.0,203616.0,0.053127982510960146,1
CsI_Bottom_Quadrant_02,53124,I-124,0.0,1.0,360806.4,0.050009517766889236,1
CsI_Bottom_Quadrant_03,53124,I-124,0.0,1.0,360806.4,0.050009517766889236,1
CsI_Side_Segment_00,54133,Xe-133,0.0,1.0,452995.2,0.04702573589431549,1
W_Side_Aperture_Sleeve_collimator_ZM_panel,73183,Ta-183,0.0,1.0,440639.99999999994,0.046778171498952734,1
CsI_Bottom_Quadrant_02,52118,Te-118,0.0,1.0,518400.0,0.04461262063022555,1
CsI_Bottom_Quadrant_01,55132,Cs-132,0.0,1.0,559785.6,0.043574303659927136,1
CsI_Side_Segment_00,55132,Cs-132,0.0,1.0,559785.6,0.043574303659927136,1
