event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25144,2,1,511,-4.614940855,-2.522080143,10000,-0.0004731007909,0.00752466063,0.9999715774,laue_bfull_diffracted,BFullLaueBraggProcess
25146,1,0,511,42.84084272,-59.40904396,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25147,1,0,511,51.32165394,-55.3744407,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25149,1,0,511,76.82543117,-27.04542663,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25152,1,0,511,58.87843729,38.20883987,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25153,1,0,511,45.77693707,49.11731135,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25154,2,1,511,-0.5509176729,2.828915142,10000,-0.00404037267,-0.006366232019,0.9999715728,laue_bfull_diffracted,BFullLaueBraggProcess
25156,1,0,511,4.279754225,67.35111004,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25157,1,0,511,-4.971294907,66.409848,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25161,1,0,511,-64.52242836,21.951621,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25162,2,1,511,4.660520447,-4.672350117,10000,0.007330146155,-0.000925756551,0.9999727056,laue_bfull_diffracted,BFullLaueBraggProcess
25163,1,0,511,-72.65173971,-12.68423524,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25164,1,0,511,-65.38011774,-22.04086308,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25165,1,0,511,-61.92384583,-46.05040535,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25166,1,0,511,-55.72797345,-49.26370425,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25168,1,0,511,-13.91034228,-71.04986101,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25169,2,1,511,4.53893326,-7.312613391,10000,-0.0004688041245,0.007465461812,0.9999720232,laue_bfull_diffracted,BFullLaueBraggProcess
25171,1,0,511,44.34087086,-68.66057791,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25172,1,0,511,49.23609615,-48.85890975,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25174,1,0,511,71.41487145,-12.81670755,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25175,1,0,511,65.45329458,-6.119871529,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25176,2,1,511,4.922514336,-7.4381602,10000,-0.007128619908,-0.001830914419,0.9999729149,laue_bfull_diffracted,BFullLaueBraggProcess
25177,2,1,511,0.1136584522,-4.985888295,10000,-0.006612252079,-0.003634660312,0.9999715333,laue_bfull_diffracted,BFullLaueBraggProcess
25178,2,1,511,-5.803329611,-3.749883495,10000,-0.005352353392,-0.005026123375,0.9999730448,laue_bfull_diffracted,BFullLaueBraggProcess
25179,1,0,511,35.57018443,70.15916878,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25180,1,0,511,31.49983218,63.25681579,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25181,1,0,511,-0.3985128825,82.95848294,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25182,1,0,511,-7.53221936,74.63310215,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25183,1,0,511,-38.53654825,61.08393938,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25184,2,1,511,-0.261361207,7.059464545,10000,0.004726563454,-0.005712845116,0.9999725111,laue_bfull_diffracted,BFullLaueBraggProcess
25186,2,1,511,0.08599436997,-2.832325621,10000,0.007028510708,-0.002782522839,0.9999714284,laue_bfull_diffracted,BFullLaueBraggProcess
25187,1,0,511,-75.34814929,16.67255089,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25188,1,0,511,-71.77254437,-3.545570615,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
