tag,VN,ZA,exc_keV,nuclide,reason,detail
n,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,9020,0.0,F-20,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_01,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Window,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,CsI_Bottom_Quadrant_00,53117,0.0,I-117,SKIPPED/UNKNOWN,None
n,CsI_Side_Segment_03_side_port_band_00,54119,0.0,Xe-119,SKIPPED/UNKNOWN,None
n,Nb_SideEntry_Sample_Can_with_side_aperture_ZM_panel,41086,0.0,Nb-86,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,5012,0.0,B-12,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,73171,0.0,Ta-171,SKIPPED/UNKNOWN,None
n,Plate_300K_Top_Service_Lid,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_side_port_band_00,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
n,ColdPlate_60K,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
n,ColdPlate_60K,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
n,CsI_Bottom_Quadrant_01,2006,0.0,He-6,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,72164,0.0,Hf-164,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_01,72171,0.0,Hf-171,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_YM_panel,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_YP_panel,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,74173,0.0,W-173,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,72171,0.0,Hf-171,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_00,74172,0.0,W-172,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9020,0.0,F-20,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_ZM_panel,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Window,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
n,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,73169,0.0,Ta-169,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,71166,0.0,Lu-166,SKIPPED/UNKNOWN,None
n,Window,9020,0.0,F-20,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,3008,0.0,Li-8,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Passive_W_Bottom_Plate_detector_bay,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_below_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_side_port_band_00,74183,0.0,W-183,SKIPPED/UNKNOWN,None
p,Plate_300K_Top_Service_Lid,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
p,Window,11021,0.0,Na-21,SKIPPED/UNKNOWN,None
p,Window,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
