production_tag,source_file,source_files_count,source_files,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_raw_token,exc_keV_decimal,state_id,nubase_line,production_count_raw,TT_file_s,TT_tag_sum_s,production_rate_s-1,half_life_s,half_life_authority,activity_day15_direct_Bq,state_class,source_row_count
alpha,MULTIPLE:2,2,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat;runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Bottom_Quadrant_00,CsI_Bottom_Quadrant_00,53126,I-126,0.00,0,gs,2424,2,,1473.396,0.001357408327428607109018892409,1117152,NUBASE2020_STATE,0.0007499901611455050780645529104,EMITTED_CANDIDATE,2
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,50113,Sn-113,0.00,0,gs,2025,2,184.037,1473.396,0.001357408327428607109018892409,9942912,NUBASE2020_STATE,0.000117261739335365794396075461,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,51115,Sb-115,0.00,0,gs,2075,1,184.037,1473.396,0.0006787041637143035545094462046,1926,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53125,I-125,0.00,0,gs,2388,1,185.196,1473.396,0.0006787041637143035545094462046,5131468.8,NUBASE2020_STATE,0.0001089957958824253357549497895,EMITTED_CANDIDATE,1
alpha,MULTIPLE:2,2,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat;runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,53128,I-128,0.00,0,gs,2498,2,,1473.396,0.001357408327428607109018892409,1499.4,NUBASE2020_STATE,0.001357408327428607109018892409,EMITTED_CANDIDATE,2
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,54121,Xe-121,0.00,0,gs,2253,1,184.046,1473.396,0.0006787041637143035545094462046,2406,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55126,Cs-126,0.00,0,gs,2427,1,185.196,1473.396,0.0006787041637143035545094462046,98.4,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55131,Cs-131,0.00,0,gs,2611,1,184.037,1473.396,0.0006787041637143035545094462046,837129.6,NUBASE2020_STATE,0.0004466220274868972767674135128,EMITTED_CANDIDATE,1
alpha,MULTIPLE:2,2,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat;runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_Bottom_Quadrant_01,CsI_Bottom_Quadrant_01,55132,Cs-132,0.00,0,gs,2640,2,,1473.396,0.001357408327428607109018892409,559872,NUBASE2020_STATE,0.001084584802676140562347121887,EMITTED_CANDIDATE,2
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,CsI_Bottom_Quadrant_02,CsI_Bottom_Quadrant_02,53125,I-125,0.00,0,gs,2388,1,184.443,1473.396,0.0006787041637143035545094462046,5131468.8,NUBASE2020_STATE,0.0001089957958824253357549497895,EMITTED_CANDIDATE,1
