local_id,status,init_energy_keV,depth_projection_cm,depth_distance_cm,entry_class,entry_surface_proxy,entry_region_proxy,theta_local_deg,phi_local_deg,first_hit_category,first_hit_volume,plotted
773525,active veto reject,3.332,1.8764785853332095,1.9503002874846036,side_wall,side,side_phi03_135deg,45.04369550249382,345.64972191805947,geoopt_plastic_active,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,True
912165,missing coordinate,10045.786,,,envelope_miss,miss_current_outer_envelope,phi05_225deg,68.73673126892547,45.890366959777204,other,Plate_300K_Top_Service_Lid,False
259704,active veto reject,550.368,-0.30112262678081114,6.4709992159297665,bottom,bottom,bottom_phi04_180deg,56.182050164927446,22.93904230328651,csi_active,CsI_Bottom_Quadrant_01,False
365643,active veto reject,0.617,1.6175687013746778,1.6175687049572556,side_wall,side,side_phi02_090deg,98.37450803815474,274.21560334059393,outer_mechanics,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,True
545609,active veto reject,0.167,1.6175782910229697,3.617616099437591,side_wall,side,side_phi05_225deg,136.34531039044083,80.37422688865998,csi_active,CsI_Side_Segment_04_rectcut_window_band,True
591731,active veto reject,332.481,1.4688909676833997,4.601053940872661,side_wall,side,side_phi07_315deg,123.55771632707572,133.05090540015803,passive_shield_or_collimator,ActiveShield_Flex_Kapton_detector_bay_above_side_port,True
610192,final pass,41.776,4.427603674514784,6.050824203833863,side_wall,side,side_phi00_000deg,100.39084391916282,222.15726161922802,csi_active,CsI_Side_Segment_07,True
736476,active veto reject,1.191,2.098660773227984,4.008069784339356,side_wall,side,side_phi01_045deg,81.86950959132291,235.85777531950575,csi_active,CsI_Side_Segment_01,True
795568,missing coordinate,1.873,,,envelope_miss,miss_current_outer_envelope,phi01_045deg,106.18223440527117,234.73733254635377,other,ColdPlate_4K,False
813973,final pass,2775.03,28.237763201730903,28.23776320425957,top,top,top_phi07_315deg,122.57366358043376,123.26475602695739,passive_shield_or_collimator,Nb_MagShield_Inner_Cylinder_2mm,True
841723,active veto reject,0.235,10.46814642244073,13.698203823546727,bottom,bottom,bottom_phi05_225deg,41.674246623735115,307.468439272407,csi_active,CsI_Side_Segment_04_below_side_port,True
894429,active veto reject,0.0,7.149446703236833,8.020445962070433,bottom,bottom,bottom_phi00_000deg,21.243989008317154,35.17207574401585,csi_active,CsI_Bottom_Quadrant_03,True
