time_bin_id,day_mid,altitude_km,depth_g_cm2,T_atm_511,science_atm_scale_to_day15
43,10.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
44,11.0,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
45,11.25,41.25,2.3965878546996042,0.8110949791979928,1.0974945300661616
46,11.5,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
47,11.75,40.772542485937365,2.570911072066957,0.7988362482971731,1.0809072123607733
48,12.0,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
49,12.25,39.522542485937365,3.0897304937274215,0.7634373037471877,1.0330088169692258
50,12.5,38.75,3.4614689720143224,0.7390423888027,1.0
51,12.75,37.97745751406263,3.8779328710198326,0.7126370627291281,0.9642708909886071
52,13.0,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
53,13.25,36.72745751406263,4.6605141556237575,0.6655438918795831,0.9005490103995393
54,13.5,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
55,13.75,36.25,4.999511042635957,0.6461225723909806,0.8742699771764703
56,14.0,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
57,14.25,36.72745751406263,4.6605141556237575,0.6655438918795831,0.9005490103995393
58,14.5,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
59,14.75,37.97745751406263,3.8779328710198326,0.7126370627291281,0.9642708909886071
60,15.0,38.75,3.4614689720143224,0.7390423888027,1.0
61,15.25,39.52254248593737,3.089730493727418,0.7634373037471879,1.033008816969226
62,15.5,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
63,15.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
64,16.0,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
65,16.25,41.25,2.3965878546996042,0.8110949791979928,1.0974945300661616
66,16.5,41.127641290737884,2.44010220656668,0.808017462949973,1.093330335569814
67,16.75,40.77254248593737,2.570911072066955,0.7988362482971733,1.0809072123607733
68,17.0,40.219463130731185,2.7887557765281525,0.7837771116149006,1.0605306589851686
69,17.25,39.52254248593737,3.089730493727418,0.7634373037471879,1.033008816969226
70,17.5,38.75,3.4614689720143224,0.7390423888027,1.0
71,17.75,37.977457514062635,3.877932871019828,0.7126370627291283,0.9642708909886073
72,18.0,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
73,18.25,36.727457514062635,4.660514155623752,0.6655438918795834,0.9005490103995397
74,18.5,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
75,18.75,36.25,4.999511042635957,0.6461225723909806,0.8742699771764703
76,19.0,36.372358709262116,4.910354743327211,0.6511747745022454,0.8811061237734871
77,19.25,36.72745751406263,4.6605141556237575,0.6655438918795831,0.9005490103995393
78,19.5,37.280536869268815,4.296456342668533,0.6870515445807625,0.9296510660150816
79,19.75,37.97745751406263,3.8779328710198326,0.7126370627291281,0.9642708909886071
80,20.0,38.75,3.4614689720143224,0.7390423888027,1.0
