case,ZA,nuclide,expected_draws,observed_draws,delta_sigma
M5000_seed260614,53126,I-126,22.546117633292596,19,-0.7485117695574162
M5000_seed260614,11024,Na-24,22.526863280431694,36,2.845108905041374
M5000_seed260614,47108,Ag-108,14.814039598873789,16,0.30858709369479936
M5000_seed260614,55131,Cs-131,11.157508212053846,10,-0.3469169976200844
M5000_seed260614,53124,I-124,7.44749759914088,5,-0.8975130465539825
M5000_seed260614,55130,Cs-130,7.328876345397292,6,-0.49122945081458147
M5000_seed260614,29062,Cu-62,7.05195225881974,8,0.3572580345530994
M5000_seed260614,74185,W-185,6.811064015899305,5,-0.6944201639019106
M5000_seed260614,10024,Ne-24,5.0538226246008815,10,2.2013002588835957
M5000_seed260614,53123,I-123,4.555822189575975,8,1.6143590351546004
M5000_seed260614,73182,Ta-182,4.502093168383393,7,1.1777811740026498
M20000_seed260613,53128,I-128,15414.37357809629,15439,0.4142419121291133
M20000_seed260613,29064,Cu-64,1126.8176897788087,1088,-1.190406493069352
M20000_seed260613,13028,Al-28,998.3289850507491,1012,0.4438978264387678
M20000_seed260613,74187,W-187,537.5668640908765,549,0.4998797590459067
M20000_seed260613,12027,Mg-27,484.7299446408297,434,-2.332610244904998
M20000_seed260613,29066,Cu-66,268.07964341170066,302,2.085733475257941
M20000_seed260613,55134,Cs-134,266.1128268471692,249,-1.0560817294841542
M20000_seed260613,55132,Cs-132,121.80288930728807,120,-0.16385766781844185
M20000_seed260613,47110,Ag-110,101.24222536141724,90,-1.1201429780095198
M20000_seed260613,53126,I-126,90.18447053317038,87,-0.33608778957420116
M20000_seed260613,11024,Na-24,90.10745312172678,83,-0.7504369097442398
M20000_seed260613,47108,Ag-108,59.256158395495156,65,0.7472742705803018
M20000_seed260613,55131,Cs-131,44.630032848215386,49,0.6548618265547934
M20000_seed260613,53124,I-124,29.78999039656352,34,0.7719187439710133
M20000_seed260613,55130,Cs-130,29.31550538158917,38,1.6051454060342676
M20000_seed260613,29062,Cu-62,28.20780903527896,24,-0.7928258886240542
M20000_seed260613,74185,W-185,27.24425606359722,32,0.9117525539682398
M20000_seed260613,10024,Ne-24,20.215290498403526,22,0.39714320673541526
M20000_seed260613,53123,I-123,18.2232887583039,19,0.18203049896890694
M20000_seed260613,73182,Ta-182,18.00837267353357,11,-1.652249253415986
M50000_seed260613,53128,I-128,38535.93394524072,38526,-0.10568284098311498
M50000_seed260613,29064,Cu-64,2817.044224447022,2779,-0.7378776109774657
M50000_seed260613,13028,Al-28,2495.822462626873,2539,0.8866865580392244
M50000_seed260613,74187,W-187,1343.9171602271913,1304,-1.1037985485476054
M50000_seed260613,12027,Mg-27,1211.8248616020742,1173,-1.1290617695687177
M50000_seed260613,29066,Cu-66,670.1991085292516,713,1.6644900858417706
M50000_seed260613,55134,Cs-134,665.2820671179229,637,-1.1038674247948654
M50000_seed260613,55132,Cs-132,304.5072232682202,300,-0.2590817211947749
M50000_seed260613,47110,Ag-110,253.10556340354307,247,-0.3847484819947829
M50000_seed260613,53126,I-126,225.46117633292596,228,0.16946422648639892
M50000_seed260613,11024,Na-24,225.26863280431692,232,0.44950389580447303
M50000_seed260613,47108,Ag-108,148.14039598873788,170,1.7986632459273677
M50000_seed260613,55131,Cs-131,111.57508212053847,106,-0.528387782490061
M50000_seed260613,53124,I-124,74.4749759914088,80,0.6406969631067134
M50000_seed260613,55130,Cs-130,73.28876345397292,84,1.2521012115509647
M50000_seed260613,29062,Cu-62,70.5195225881974,64,-0.776904418083011
M50000_seed260613,74185,W-185,68.11064015899305,80,1.4416073665076146
M50000_seed260613,10024,Ne-24,50.53822624600881,50,-0.075748575472809
M50000_seed260613,53123,I-123,45.55822189575975,50,0.6583721072701881
M50000_seed260613,73182,Ta-182,45.02093168383393,36,-1.345054142219809
