case,M,seed,ZA,nuclide,activity_Bq,activity_fraction,expected_draws,miss_probability_if_multinomial,dominant_incident_family,dominant_incident_family_activity_Bq,dominant_category,dominant_category_activity_Bq
M5000_seed260613,5000,260613,49111,In-111,0.00132350181,1.54548444055119e-05,0.0772742220275595,0.9256359890227639,n,0.00132350181,CsI active shield,0.00132350181
M5000_seed260613,5000,260613,51126,Sb-126,0.0011600642330001,1.3546345071803151e-05,0.06773172535901575,0.9345111455933174,n,0.0007733761553334,CsI active shield,0.0011600642330001
M5000_seed260613,5000,260613,25052,Mn-52,0.001146570376,1.3388774104547146e-05,0.06694387052273573,0.9352476948277699,p,0.001146570376,other,0.001146570376
M5000_seed260613,5000,260613,11022,Na-22,0.001130557234510011,1.3201784855041528e-05,0.06600892427520764,0.9361225100394334,p,0.000546850903567531,Cu/support,0.000398938526410016
M5000_seed260613,5000,260613,23048,V-48,0.0009745968599999999,1.138059858747036e-05,0.0569029929373518,0.9446857061072211,p,0.0009745968599999999,other,0.0009745968599999999
M5000_seed260613,5000,260613,51124,Sb-124,0.000970505023,1.1332817236746165e-05,0.056664086183730825,0.9449114248642535,n,0.000538042855,CsI active shield,0.000970505023
M5000_seed260613,5000,260613,13029,Al-29,0.000681603786,7.959249000828968e-06,0.039796245004144845,0.9609852247459845,muminus,0.000681603786,Cu/support,0.000681603786
M5000_seed260613,5000,260613,72184,Hf-184,0.000681603786,7.959249000828968e-06,0.039796245004144845,0.9609852247459845,muminus,0.000681603786,W/collimator,0.000681603786
M5000_seed260613,5000,260613,38091,Sr-91,0.000681603786,7.959249000828968e-06,0.039796245004144845,0.9609852247459845,muminus,0.000681603786,other,0.000681603786
M5000_seed260613,5000,260613,24049,Cr-49,0.000681603786,7.959249000828968e-06,0.039796245004144845,0.9609852247459845,muminus,0.000681603786,other,0.000681603786
M5000_seed260613,5000,260613,73186,Ta-186,0.000681603786,7.959249000828968e-06,0.039796245004144845,0.9609852247459845,muminus,0.000681603786,W/collimator,0.000681603786
M5000_seed260613,5000,260613,46109,Pd-109,0.000681603779,7.959248919088308e-06,0.03979624459544154,0.9609852251387423,muminus,0.000681603779,other,0.000681603779
M5000_seed260613,5000,260613,57132,La-132,0.000680164763,7.942445188100558e-06,0.039712225940502784,0.9610659692167314,alpha,0.000680164763,CsI active shield,0.000680164763
M5000_seed260613,5000,260613,29059,Cu-59,0.000679030453,7.9291995813132e-06,0.039645997906566,0.9611296208340936,p,0.000679030453,other,0.000679030453
M5000_seed260613,5000,260613,47104,Ag-104,0.000679030453,7.9291995813132e-06,0.039645997906566,0.9611296208340936,p,0.000679030453,CsI active shield,0.000679030453
M5000_seed260613,5000,260613,30063,Zn-63,0.000679030453,7.9291995813132e-06,0.039645997906566,0.9611296208340936,p,0.000679030453,Cu/support,0.000679030453
M5000_seed260613,5000,260613,56126,Ba-126,0.000679030453,7.9291995813132e-06,0.039645997906566,0.9611296208340936,p,0.000679030453,CsI active shield,0.000679030453
M5000_seed260613,5000,260613,49117,In-117,0.000679030453,7.9291995813132e-06,0.039645997906566,0.9611296208340936,p,0.000679030453,CsI active shield,0.000679030453
M5000_seed260613,5000,260613,10019,Ne-19,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,other,0.000678407642
M5000_seed260613,5000,260613,8019,O-19,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,Cu/support,0.000678407642
M5000_seed260613,5000,260613,14031,Si-31,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,Cu/support,0.000678407642
M5000_seed260613,5000,260613,68156,Er-156,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,W/collimator,0.000678407642
M5000_seed260613,5000,260613,73172,Ta-172,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,W/collimator,0.000678407642
M5000_seed260613,5000,260613,48104,Cd-104,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
M5000_seed260613,5000,260613,49110,In-110,0.000678407642,7.921926869612835e-06,0.03960963434806418,0.9611645715627513,n,0.000678407642,CsI active shield,0.000678407642
