source_name,flux_Bq
S_CsI_TopAnnulus_Segment_07_53128_z001,0.272659356
S_CsI_TopAnnulus_Segment_07_53128_z002,0.163595613
S_CsI_TopAnnulus_Segment_07_53128_z003,0.109063742
S_CsI_TopAnnulus_Segment_07_53128_z004,0.109063742
S_CsI_TopAnnulus_Segment_07_53128_z005,0.163595613
S_CsI_TopAnnulus_Segment_07_53128_z006,0.163595613
S_CsI_TopAnnulus_Segment_07_53128_z007,0.0545318713
S_CsI_TopAnnulus_Segment_07_53128_z008,0.0545318713
S_CsI_TopAnnulus_Segment_07_53128_z009,0.109063742
S_ColdPlate_4K_29064_z000,0.163595613
S_ColdPlate_4K_29064_z001,0.109063742
S_ColdPlate_4K_29064_z002,0.109063742
S_ColdPlate_4K_29064_z004,0.163595613
S_ColdPlate_4K_29064_z005,0.054531871
S_ColdPlate_4K_29064_z006,0.327191226
S_ColdPlate_4K_29064_z007,0.109063742
S_ColdPlate_4K_29064_z009,0.218127484
S_CsI_Side_Segment_04_below_side_port_53128_z000,0.327191227
S_CsI_Side_Segment_04_below_side_port_53128_z001,0.109063742
S_CsI_Side_Segment_04_below_side_port_53128_z002,0.109063742
S_CsI_Side_Segment_04_below_side_port_53128_z003,0.109063742
S_CsI_Side_Segment_04_below_side_port_53128_z004,0.109063742
S_CsI_Side_Segment_04_below_side_port_53128_z005,0.218127485
S_CsI_Side_Segment_04_below_side_port_53128_z006,0.109063742
S_CsI_Side_Segment_04_below_side_port_53128_z008,0.0545318712
S_CsI_Side_Segment_04_below_side_port_53128_z009,0.0545318712
S_CsI_TopAnnulus_Segment_00_53128_z000,0.109063742
S_CsI_TopAnnulus_Segment_00_53128_z002,0.0545318713
S_CsI_TopAnnulus_Segment_00_53128_z003,0.109063742
S_CsI_TopAnnulus_Segment_00_53128_z005,0.163595613
S_CsI_TopAnnulus_Segment_00_53128_z006,0.163595613
S_CsI_TopAnnulus_Segment_00_53128_z007,0.163595613
S_CsI_TopAnnulus_Segment_00_53128_z008,0.163595613
S_CsI_TopAnnulus_Segment_00_53128_z009,0.0545318713
S_CsI_TopAnnulus_Segment_02_53128_z000,0.163595613
S_CsI_TopAnnulus_Segment_02_53128_z001,0.109063742
S_CsI_TopAnnulus_Segment_02_53128_z002,0.0545318713
S_CsI_TopAnnulus_Segment_02_53128_z003,0.109063742
S_CsI_TopAnnulus_Segment_02_53128_z004,0.0545318713
S_CsI_TopAnnulus_Segment_02_53128_z006,0.109063742
S_CsI_TopAnnulus_Segment_02_53128_z007,0.0545318713
S_CsI_TopAnnulus_Segment_02_53128_z008,0.109063742
S_CsI_TopAnnulus_Segment_02_53128_z009,0.163595613
S_CsI_Side_Segment_03_above_side_port_53128_z000,0.163595613
S_CsI_Side_Segment_03_above_side_port_53128_z001,0.0545318713
