particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
p,16,130.541602,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin16_theta130.54_pdf.dat
p,17,138.590378,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin17_theta138.59_pdf.dat
p,18,148.211669,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin18_theta148.21_pdf.dat
p,19,161.805128,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_p_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/p_bin19_theta161.81_pdf.dat
alpha,00,18.194872,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin00_theta18.19_pdf.dat
alpha,01,31.788331,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin01_theta31.79_pdf.dat
alpha,02,41.409622,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin02_theta41.41_pdf.dat
alpha,03,49.458398,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin03_theta49.46_pdf.dat
alpha,04,56.632987,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin04_theta56.63_pdf.dat
alpha,05,63.256316,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin05_theta63.26_pdf.dat
alpha,06,69.512685,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin06_theta69.51_pdf.dat
alpha,07,75.522488,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin07_theta75.52_pdf.dat
alpha,08,81.373073,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin08_theta81.37_pdf.dat
alpha,09,87.134016,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin09_theta87.13_pdf.dat
alpha,10,92.865984,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin10_theta92.87_pdf.dat
alpha,11,98.626927,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin11_theta98.63_pdf.dat
alpha,12,104.477512,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_alpha_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/alpha_bin12_theta104.48_pdf.dat
