pilot_event_id,original_event_id,sampling_method,pilot_event_weight_Bq,event_id,source_name,production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,point_index_within_key,x_cm,y_cm,z_cm,key_activity_Bq,key_rpip_count,event_weight_Bq
42,5727,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5727,RP2_n_136d6fafb04c1a75_29064_gs_001028,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1028,12.16549,6.139415,15.84221,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
43,5856,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5856,RP2_n_136d6fafb04c1a75_29064_gs_001157,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1157,10.16459,2.747664,18.32591,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
44,5984,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5984,RP2_n_136d6fafb04c1a75_29064_gs_001285,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1285,13.15374,3.235773,15.42298,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
45,6112,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6112,RP2_n_136d6fafb04c1a75_29064_gs_001413,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1413,7.339825,0.3039375,20.75968,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
46,6240,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6240,RP2_n_136d6fafb04c1a75_29064_gs_001541,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1541,16.59464,-3.901094,11.39082,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
47,6368,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6368,RP2_n_136d6fafb04c1a75_29064_gs_001669,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1669,19.86465,-4.352082,8.318186,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
48,6496,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6496,RP2_n_136d6fafb04c1a75_29064_gs_001797,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1797,17.60622,7.279134,11.04367,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
49,6625,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6625,RP2_n_136d6fafb04c1a75_29064_gs_001926,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,1926,19.45088,-4.706994,8.971875,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
50,6753,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6753,RP2_n_136d6fafb04c1a75_29064_gs_002054,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2054,9.272348,3.496121,19.128,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
51,6881,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,6881,RP2_n_136d6fafb04c1a75_29064_gs_002182,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,2182,13.90676,3.031955,14.30009,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
