selection_id,time_bin_id,day_mid,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,coincidence_occupancy_rate_hz,coincidence_window_s,accidental_live_factor,accidental_loss_fraction
broad_480_550,25,6.25,22897.44964399572,13.387265124937347,150.8832676942327,23061.720176814888,1e-06,0.9772021688213279,0.022797831178672068
broad_480_550,26,6.5,22930.369202760656,13.403909640362802,153.07096210669314,23096.84407450771,1e-06,0.9771678462750993,0.02283215372490066
broad_480_550,27,6.75,23030.69368720128,13.451520249606276,159.60115925051906,23203.74636670141,1e-06,0.9770633903758615,0.02293660962413846
broad_480_550,28,7.0,23199.091780347277,13.531603431130172,170.3314266947042,23382.95481047311,1e-06,0.9768883080547898,0.023111691945210233
broad_480_550,29,7.25,23433.961599533104,13.644647337903068,184.88551062040477,23632.491757491414,1e-06,0.9766445687410668,0.023355431258933246
broad_480_550,30,7.5,23727.45539803792,13.788695967342454,202.4765592953111,23943.720653300574,1e-06,0.9763406560260021,0.023659343973997937
broad_480_550,31,7.75,24060.74552158549,13.957459730314323,221.74131940625466,24296.444300722058,1e-06,0.9759963383167516,0.024003661683248412
broad_480_550,32,8.0,24400.586744339067,14.13867887509033,240.68815637614964,24655.413579590306,1e-06,0.9756460484904127,0.0243539515095873
broad_480_550,33,8.25,24700.444686973326,14.31398276895077,256.8700456599868,24971.628715402265,1e-06,0.9753375832159495,0.024662416784050456
broad_480_550,34,8.5,24908.975270393203,14.461472600890785,314.1446369559682,25237.58137995006,1e-06,0.9750782240770154,0.024921775922984613
broad_480_550,35,8.75,24984.988647956914,14.561087494893794,318.69949898590323,25318.249234437713,1e-06,0.9749995697812007,0.025000430218799274
broad_480_550,36,9.0,24912.532320948387,14.600782406115016,314.1446369559682,25241.27774031047,1e-06,0.9750746198431809,0.02492538015681911
broad_480_550,37,9.25,24707.330359111722,14.580303040380771,301.2911813756233,25023.201843527724,1e-06,0.9752872833028778,0.02471271669712216
broad_480_550,38,9.5,24410.380457044328,14.510469746437018,282.3109202607466,24707.201847051514,1e-06,0.9755955227802368,0.024404477219763243
broad_480_550,39,9.75,24072.89012891687,14.408708620541375,260.0875626118474,24347.38640014926,1e-06,0.9759466202806258,0.024053379719374157
broad_480_550,40,10.0,23741.311472340152,14.293584278921966,237.4913026320942,23993.09635925117,1e-06,0.9762924497069828,0.023707550293017188
broad_480_550,41,10.25,23448.848935535254,14.180837905031751,216.85819290814374,23679.88796634843,1e-06,0.9765982805880578,0.023401719411942246
broad_480_550,42,10.5,23214.318032676932,14.081802435159727,199.7872373261192,23428.187072438213,1e-06,0.97684412218625,0.023155877813749948
broad_480_550,43,10.75,23045.575756486316,14.003680528990992,187.20135972241323,23246.78079673772,1e-06,0.9770213439144767,0.022978656085523297
broad_480_550,44,11.0,22944.252608860563,13.950715147083049,179.54188036574533,23137.74520437339,1e-06,0.9771278798234604,0.022872120176539612
