dataset,event_id,primary_energy_keV,depth_from_geoopt_outer_radius_cm,r_cm,z_cm,VN,category,weight
Mass_model_511,212979,3863.26,12.8484648815,15.0515351185,-22.32791,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,187495,5898.74,6.02859752179,21.8714024782,-1.65743,CsI_Side_Segment_05,csi,0.125
Mass_model_511,715820,286.866,8.09472844413,19.8052715559,-17.23766,CsI_Side_Segment_06,csi,0.125
Mass_model_511,765912,368.983,15.719558266,12.180441734,17.43083,CsI_TopAnnulus_Segment_04,csi,0.125
Mass_model_511,42917,5360.77,6.66483310494,21.2351668951,-17.0936,CsI_Side_Segment_01,csi,0.125
Mass_model_511,941657,957.9,7.22457935163,20.6754206484,-11.38912,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,851018,5831.44,9.54643948814,18.3535605119,17.81454,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,outer_mechanics,0.125
Mass_model_511,474209,2045.61,18.8417763485,9.05822365152,-21.17424,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,328055,3335.21,21.0204524543,6.87954754568,-19.61672,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,243843,510.999,20.6493852146,7.25061478537,8.772931,ColdPlate_Still_0p7K,cold_plates,0.125
Mass_model_511,92613,5374.67,2.23712583888,25.6628741611,8.906727,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,1153,2631.19,11.8187019332,16.0812980668,-16.11573,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,615332,6574.09,5.33169120803,22.568308792,-8.740074,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,949782,1492.56,23.0104678512,4.88953214882,-19.78268,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,24477,3767.52,6.42957974076,21.4704202592,-12.861,CsI_Side_Segment_07,csi,0.125
Mass_model_511,276889,314.763,1.74043545898,26.159564541,2.32196,ColdPlate_4K,cold_plates,0.125
Mass_model_511,664116,1229.13,8.62330372221,19.2766962778,-12.482,CsI_TopAnnulus_Segment_00,csi,0.125
Mass_model_511,45695,443.906,12.8492151667,15.0507848333,-18.98149,CsI_Side_Segment_07,csi,0.125
Mass_model_511,276981,21431.3,17.0736699095,10.8263300905,17.08357,Shield_4K_Al_side_window_side_wall_above_side_port,window,0.125
Mass_model_511,690346,7725.11,0,46.5839226607,40.19556,NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,0.125
Mass_model_511,377823,493.826,8.7550393568,19.1449606432,-11.23924,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,outer_mechanics,0.125
Mass_model_511,274902,7916.04,9.74509919558,18.1549008044,17.78809,XS400_Group2_Cu_Coarse_MainVerticalStack_4K60K,passive_w_or_collimator,0.125
Mass_model_511,377121,1512.28,6.13114699056,21.7688530094,9.724056,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,577412,3757,5.03074110636,22.8692588936,-15.43253,CsI_Side_Segment_06,csi,0.125
Mass_model_511,537851,1750.27,16.5293128884,11.3706871116,-22.76598,CsI_Side_Segment_00,csi,0.125
Mass_model_511,200694,3572.05,7.46180255843,20.4381974416,-17.50238,CsI_Side_Segment_01,csi,0.125
Mass_model_511,276759,314.361,17.4546357434,10.4453642566,-13.72261,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,751225,6891.56,12.5608833948,15.3391166052,19.35238,CsI_TopAnnulus_Segment_04,csi,0.125
Mass_model_511,32474,2938.4,1.97971993469,25.9202800653,-7.955134,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,836048,2077.75,8.15056879303,19.749431207,12.15203,CsI_TopAnnulus_Segment_05,csi,0.125
Mass_model_511,694094,4074.52,6.17970837378,21.7202916262,-7.094863,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,164122,3110.41,8.02115623843,19.8788437616,-14.57353,CsI_TopAnnulus_Segment_07,csi,0.125
Mass_model_511,741021,3165.8,6.20686590881,21.6931340912,2.522612,CsI_Side_Segment_02,csi,0.125
Mass_model_511,584417,6826.15,0.95719817943,26.9428018206,-6.873405,CsI_Side_Segment_05,csi,0.125
Mass_model_511,411206,3076.02,7.43779238497,20.462207615,-14.2624,CsI_Side_Segment_01,csi,0.125
Mass_model_511,409321,3552.85,8.37039425686,19.5296057431,14.6326,CsI_Side_Segment_04_above_side_port,csi,0.125
Mass_model_511,235056,1328.83,3.90565092408,23.9943490759,2.604115,CsI_Side_Segment_05,csi,0.125
