stage,stream,energy_lo_keV,energy_hi_keV,energy_center_keV,events,rate_cps,sigma_cps
final_selected,delayed,508.0,509.0,508.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,509.0,510.0,509.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,510.0,511.0,510.5,28,0.003984600717591324,0.0007530187551882966
final_selected,delayed,511.0,512.0,511.5,0,0.0,0.0
final_selected,delayed,512.0,513.0,512.5,0,0.0,0.0
final_selected,delayed,513.0,514.0,513.5,0,0.0,0.0
final_selected,delayed,514.0,515.0,514.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,515.0,516.0,515.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,516.0,517.0,516.5,0,0.0,0.0
final_selected,delayed,517.0,518.0,517.5,0,0.0,0.0
final_selected,delayed,518.0,519.0,518.5,0,0.0,0.0
final_selected,delayed,519.0,520.0,519.5,0,0.0,0.0
final_selected,delayed,520.0,521.0,520.5,0,0.0,0.0
final_selected,delayed,521.0,522.0,521.5,0,0.0,0.0
final_selected,delayed,522.0,523.0,522.5,0,0.0,0.0
final_selected,delayed,523.0,524.0,523.5,0,0.0,0.0
final_selected,delayed,524.0,525.0,524.5,0,0.0,0.0
final_selected,delayed,525.0,526.0,525.5,0,0.0,0.0
final_selected,delayed,526.0,527.0,526.5,0,0.0,0.0
final_selected,delayed,527.0,528.0,527.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,528.0,529.0,528.5,0,0.0,0.0
final_selected,delayed,529.0,530.0,529.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,530.0,531.0,530.5,0,0.0,0.0
final_selected,delayed,531.0,532.0,531.5,0,0.0,0.0
final_selected,delayed,532.0,533.0,532.5,0,0.0,0.0
final_selected,delayed,533.0,534.0,533.5,0,0.0,0.0
final_selected,delayed,534.0,535.0,534.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,535.0,536.0,535.5,0,0.0,0.0
final_selected,delayed,536.0,537.0,536.5,0,0.0,0.0
final_selected,delayed,537.0,538.0,537.5,0,0.0,0.0
final_selected,delayed,538.0,539.0,538.5,0,0.0,0.0
final_selected,delayed,539.0,540.0,539.5,0,0.0,0.0
final_selected,delayed,540.0,541.0,540.5,0,0.0,0.0
final_selected,delayed,541.0,542.0,541.5,0,0.0,0.0
final_selected,delayed,542.0,543.0,542.5,0,0.0,0.0
final_selected,delayed,543.0,544.0,543.5,0,0.0,0.0
final_selected,delayed,544.0,545.0,544.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,545.0,546.0,545.5,1,0.0001423071684854045,0.0001423071684854045
final_selected,delayed,546.0,547.0,546.5,0,0.0,0.0
final_selected,delayed,547.0,548.0,547.5,0,0.0,0.0
final_selected,delayed,548.0,549.0,548.5,0,0.0,0.0
final_selected,delayed,549.0,550.0,549.5,0,0.0,0.0
