source_family,window,stage,event_count,rate_or_transfer,rate_units,source_theta_bin,source_phi_bin,first_recorded_volume,first_recorded_material,entry_region,first_recorded_x_cm,first_recorded_y_cm,first_recorded_z_cm,tes_energy_keV,active_veto_energy_keV,side_compton_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,source_file,local_id,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,100_110,180_225,TP_L1_00360,Ta,unknown,,,,510.99894000000006,0.0,veto,miss_current_outer_envelope,phi01_045deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,231354,65.77783,27.57023,0.87293,-0.82478,-0.27821,0.49227,365.181
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,100_110,180_225,TP_L1_00360,Ta,unknown,,,,510.99894000000006,0.0,veto,miss_current_outer_envelope,phi01_045deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,231354,65.77783,27.57023,0.87293,-0.82478,-0.27821,0.49227,365.181
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,100_110,180_225,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99890000000005,1439.4885858599994,not_active_veto_pass,side,side_phi07_315deg,335.2536519621229,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,28520,48.90007,15.62975,-46.73031,-0.79473,-0.51189,0.32614,1439.489
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,070_080,090_135,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,PlasticScintillator,side_wall,,,,510.99890600000003,279.82020102999996,not_active_veto_pass,side,side_phi06_270deg,252.40741047152272,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,71755,-15.67733,-54.60262,-25.8746,-0.09723,0.826,0.55522,279.82
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,130_140,180_225,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,PlasticScintillator,top,,,,510.99890000000005,57.4583928,not_active_veto_pass,top,top_phi06_270deg,292.4925054440556,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,80084,68.44518,0.9178,4.86164,-0.93262,-0.34983,-0.08849,57.458
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,100_110,315_360,TP_L2_00019,Ta,unknown,,,,510.99892000000006,0.0,keep,miss_current_outer_envelope,phi05_225deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,136894,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,0.449
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,100_110,315_360,TP_L2_00019,Ta,unknown,,,,510.99892000000006,0.0,keep,miss_current_outer_envelope,phi05_225deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,136894,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,0.449
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,100_110,315_360,TP_L2_00019,Ta,unknown,,,,510.99892000000006,0.0,keep,miss_current_outer_envelope,phi05_225deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,136894,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,0.449
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,110_120,180_225,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99894,0.0,single,top,top_phi02_090deg,79.49222116766131,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,183364,61.40093,14.19736,-10.94499,-0.95971,-0.08952,0.26633,20.113
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,110_120,180_225,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99894,0.0,single,top,top_phi02_090deg,79.49222116766131,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,183364,61.40093,14.19736,-10.94499,-0.95971,-0.08952,0.26633,20.113
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,110_120,180_225,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,top,,,,510.99894,0.0,single,top,top_phi02_090deg,79.49222116766131,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,183364,61.40093,14.19736,-10.94499,-0.95971,-0.08952,0.26633,20.113
eplus,w2_510p58_511p42,raw,1,0.0006790382916483043,cps normalized by prompt TT,090_100,225_270,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,unknown,,,,510.99898200000007,0.0,single,miss_current_outer_envelope,phi01_045deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,231882,46.68125,43.96283,-6.19237,-0.48777,-0.83402,0.25786,31.35
eplus,w2_510p58_511p42,active_veto_pass,1,0.0006790382916483043,cps normalized by prompt TT,090_100,225_270,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,unknown,,,,510.99898200000007,0.0,single,miss_current_outer_envelope,phi01_045deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,231882,46.68125,43.96283,-6.19237,-0.48777,-0.83402,0.25786,31.35
eplus,w2_510p58_511p42,side_compton_fov_pass,1,0.0006790382916483043,cps normalized by prompt TT,090_100,225_270,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Aluminium,unknown,,,,510.99898200000007,0.0,single,miss_current_outer_envelope,phi01_045deg,,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,231882,46.68125,43.96283,-6.19237,-0.48777,-0.83402,0.25786,31.35
