family,window,stage,group_by,group_value,events,fraction_of_stage
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00343,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00319,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00258,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00131,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00287,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00034,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00081,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00311,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00254,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00270,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00151,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00284,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00253,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00331,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00162,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00193,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00122,1,0.009345794392523364
eplus,w2_510p58_511p42,raw,entry_surface_proxy,side,35,0.5645161290322581
eplus,w2_510p58_511p42,raw,entry_surface_proxy,top,14,0.22580645161290322
eplus,w2_510p58_511p42,raw,entry_surface_proxy,miss_current_outer_envelope,13,0.20967741935483872
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi03_135deg,8,0.12903225806451613
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi06_270deg,6,0.0967741935483871
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi00_000deg,6,0.0967741935483871
eplus,w2_510p58_511p42,raw,entry_region_proxy,phi04_180deg,5,0.08064516129032258
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi05_225deg,4,0.06451612903225806
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_neg_x_window_axis_pm15deg,4,0.06451612903225806
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi07_315deg,4,0.06451612903225806
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi00_000deg,3,0.04838709677419355
eplus,w2_510p58_511p42,raw,entry_region_proxy,side_phi02_090deg,3,0.04838709677419355
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi02_090deg,3,0.04838709677419355
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi05_225deg,2,0.03225806451612903
eplus,w2_510p58_511p42,raw,entry_region_proxy,top_phi01_045deg,2,0.03225806451612903
