raw_volume,ZA,exc_keV_decimal,custom_activity_Bq,native_store_activity_Bq,relative_delta,status
Cu_50mK_StillLike_Can_side_wall_above_side_port,28059,0,0.000000000715552834371780080076498911,0.000000000715552834371780080076498911,0,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,28063,0,0.00000076264260446438083102426428909999999999999999999999999999999999999999999999999999,0.0000007626426044643808310242642891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000013112301806195577280649713338195808743223280265148678103709085711456238570003216,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,29062,0,0.0040724461689355059516102043786,0.0040724461689355059516102043786,0,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,0,0.1235379919825279014628391610000000000000000000000000000000000000000000000000001,0.123537991982527901462839161,0.00000000000000000000000000000000000000000000000000000000000000000000000000000080946758479078320622292582402830310181802310044409764808298674293498490527063677,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,29066,0,0.025114866575574366816880719999999999999999999999999999999999999999999999999999991,0.02511486657557436681688072,0.00000000000000000000000000000000000000000000000000000000000000000000000000000035835348648648648648648648642527583690284879474068663258897991110199988154699636,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,30063,0,0.0006785452803443753006803773526,0.0006785452803443753006803773526,0,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,30065,0,0.0000283132784596519876966169768,0.0000283132784596519876966169768,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,27057,0,0.00005094822809645747340369568657,0.00005094822809645747340369568657,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,27058,0,0.00009265386164100624409885482996,0.00009265386164100624409885482996,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,28059,0,0.0000000002385451282813205804113543633,0.0000000002385451282813205804113543633,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,0,0.0000001908821938318160019438087249,0.0000001908821938318160019438087249,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,29060,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,29062,0,0.0047512263466537320817961697845999999999999999999999999999999999999999999999999999,0.0047512263466537320817961697846,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021047197650440198932168969616636025104640350581667315113325347194100720489252073,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,29064,0,0.082811181438837384497068009030000000000000000000000000000000000000000000000000028,0.08281118143883738449706800903,0.00000000000000000000000000000000000000000000000000000000000000000000000000000033811859115523206712393688515152757290212502278059029778138152161054333114949235,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,29066,0,0.024436086397856140686694754590000000000000000000000000000000000000000000000000005,0.02443608639785614068669475459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000020461541666666666666666666667018895055173611111111111111117174429295601070601848,PASS
