production_tag,raw_volume,ZA,exc_keV_decimal,direct_activity_Bq,tag_native_activity_Bq,relative_delta_vs_direct,classification
alpha,CsI_Side_Segment_01,55134,0,0.00000929173936383665083928556885,0.00000929085,0.000095715538482733784357506909554497125697929633859146265718917072474116666853816153,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_Side_Segment_01,56132,0,0,0,0,MATCH
alpha,CsI_Side_Segment_02,51114,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_02,53126,0,0.0003749950805727525390322764552,0.000374995,0.00000021486349211826636711906038361031636066503115800391430593253647210731274493084906,MATCH
alpha,CsI_Side_Segment_02,54124,0,0,0.000000000000000000150703,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_02,55124,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_02,55132,0,0.0005422924013380702811735609436,0.000542292,0.00000074007688341363197688971628448190435676566691042779590627911641103085365440897483,MATCH
alpha,CsI_Side_Segment_02,56132,0,0,0,0,MATCH
alpha,CsI_Side_Segment_03_below_side_port,55131,0,0.0004466220274868972767674135128,0.000446622,0.000000061543980334856652930669372688851285140923234279399871555058876152564497397165893,MATCH
alpha,CsI_Side_Segment_04_below_side_port,51120,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_04_rectcut_window_band,53122,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_05,52128,0,0,0,0,MATCH
alpha,CsI_Side_Segment_05,53128,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_06,48111,245.39,0,0.000659413,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_06,48111,396.21,0,0.000000032959,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_06,49111,0,0,0.000661894,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_06,49111,536.99,0,0.0000025513,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_06,50111,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_TopAnnulus_Segment_00,55131,0,0,0.000172259,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_00,55131,123.8,0,0.000218596,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_00,55131,133.62,0,0.0000200006,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_00,55131,775.28,0,0.000000135481,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_00,55131,78.73,0,0.00000850937,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_00,56131,0,0.000403462373866759445525846412,0.000403894,0.0010698051694483310310125708537628846165614676980129566513406159032850790006419096,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_TopAnnulus_Segment_02,52125,35.49,0,0.000102137,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_02,53125,0,0,0.000102137,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_02,54125,0,0.0006787039079712173102139547006,0.000678704,0.00000013559489139362496641901642180272581152544562262171299476141959230855109977064478,MATCH
alpha,CsI_TopAnnulus_Segment_04,47109,88.03,0,0.0000151223,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_04,48109,0,0.00001512616054103533876839627636,0.0000151229,0.00021555642137298077866705950603978284257413644241441539447002486994005131021691255,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_TopAnnulus_Segment_04,53124,0,0.0006224189124019870421801063666,0.000622419,0.00000014073803223582805969216921261434421434194173577829274186848582914892582767861214,MATCH
alpha,CsI_TopAnnulus_Segment_05,52125,35.49,0,0.000108971,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_TopAnnulus_Segment_05,53125,0,0.0001089957958824253357549497895,0.000108971,0.00022749393428057792146968647603202566934424343883112352029599519865985940070643518,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_TopAnnulus_Segment_07,55131,0,0.0004466220274868972767674135128,0.000446622,0.000000061543980334856652930669372688851285140923234279399871555058876152564497397165893,MATCH
alpha,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,0,0.0000001908821938318160019438087249,0.000000190882,0.0000010154525789489127691449227709671389217132368966107440435382539702256051961455328,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,26055,0,0.000006973575649685694137896397167,0.00000700442,0.0044230322955908633589399143871952593000945904622000672960962526172375068876605379,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,G10_Support_Ring_60K_Top,6011,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,NbTi_Bundle_4K_60K,23048,0,0.000324709514514696320608987672,0.00032471,0.0000014951372903408347628036566372115354696603579765560566308816665702751917385197035,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,NbTi_Bundle_4K_60K,41092,0,0.0000000000005567721795900592915957420816,0.000000000000556772,0.00000032255573441874281209430238885849772022903316661252618442170631601908175878462106,MATCH
alpha,Nb_MagShield_Inner_Cylinder_2mm,31068,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12025,585.04,0,0.000000118207,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13025,0,0,0.000678705,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
