event_index,event_key,source_family,stream,local_id,source_file_basename,tes_total_keV,init_energy_keV,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,theta_local_deg,phi_local_deg,entry_class,entry_surface_proxy,entry_region_proxy,entry_phi_deg_local,xz_init_quadrant,first_hit_volume,first_hit_category,tes_x_cm,tes_y_cm,tes_z_cm,path_length_init_to_tes_cm,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,computed_veto_layer,final_pass_flag
55,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::51896,eplus,prompt,51896,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.998865,28.901,-42.20939,-34.62776,19.87169,0.75334,0.57492,-0.31928,72.12582287184638,37.16259214057976,side_wall,side,side_phi05_225deg,219.37669296288377,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-6.338278635426549,0.3304937497085027,-2.2288026557974545,54.7471269692538,28.90073623,0.0,keep,True,final_pass,True
56,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::69124,eplus,prompt,69124,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99893399999996,1.901,-56.14024,0.38491,20.86587,0.84771,0.06209,-0.52682,76.88520907549625,3.655235191177163,side_window,side,side_neg_x_window_axis_pm15deg,175.71199890755992,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.9662956940867553,-1.016418327598116,-4.7233109197409675,58.12822348619903,1.90121827,0.0,keep,True,final_pass,True
57,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::80763,eplus,prompt,80763,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99888999999996,48.592,63.23848,-13.7068,-18.48038,-0.91708,-0.16303,0.36386,113.02818706332978,190.2035420701306,top,top,top_phi06_270deg,275.623458176816,right_lower,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,-5.289591005931715,-0.7223319245886602,-2.7359143386324183,71.5023155286413,48.59154108,0.0,single,True,final_pass,True
58,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::154485,eplus,prompt,154485,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.9989,10.262,52.67865,-3.13462,-35.03062,-0.91506,0.07311,0.39664,111.50471042305445,175.49304878698376,side_wall,side,side_phi00_000deg,359.0863355018087,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.2126171443841467,0.2147024146566421,-5.641061292889632,63.23604877473705,10.26199435,0.0,single,True,final_pass,True
59,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::164289,eplus,prompt,164289,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99887,3.937,26.86972,1.18917,64.28188,-0.62111,-0.15675,-0.76789,169.16412281450394,303.5098027293647,top,top,top_phi04_180deg,201.03849874224056,right_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,-4.9916782268930255,1.5322033055071336,-1.788367770210666,73.35219157760984,3.9369272199999994,0.0,veto,False,compton_fov_veto,False
60,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::182558,eplus,prompt,182558,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99884099999997,449.892,37.2518,-33.31379,45.39836,-0.72721,0.40872,-0.55146,154.71021002812205,106.91224077514298,top,top,top_phi05_225deg,219.1716682706403,right_upper,TP_L0_00360,tes,-5.87280897593177,1.4087350970535741,-1.4367551819170954,72.51836775980256,0.0,0.0,single,True,final_pass,True
61,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::213474,eplus,prompt,213474,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99894,804.187,30.61721,-61.08945,-17.76728,-0.69852,0.71144,-0.07692,123.2518749432295,121.70835187575813,side_wall,side,side_phi07_315deg,295.53109934075405,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-2.7358795508727276,-0.022984283397707635,-5.457518769834786,70.66167305724638,763.4998199000003,0.0,single,True,plastic_skin_veto,False
62,eplus::Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz::230901,eplus,prompt,230901,Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,510.99886000000004,1376.161,46.13261,30.60791,-31.93325,-0.64275,-0.69017,0.33247,102.67386840896744,225.02430623516867,side_wall,side,side_phi00_000deg,6.399687773593559,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-1.988930161061768,-1.373338013667271,-6.420248012729069,63.161666558022894,1376.16149314,0.0,single,True,plastic_skin_veto,False
63,gamma::Background_gamma_fullsphere20_rep01_part12.inc1.id1.sim.gz::528434,gamma,prompt,528434,Background_gamma_fullsphere20_rep01_part12.inc1.id1.sim.gz,510.93292,1903.964,4.42579,63.06536,-1.45905,-0.26507,-0.92645,0.26725,89.91167868136132,247.88859983944187,side_wall,side,side_phi03_135deg,113.34024143430025,right_lower,CsI_TopAnnulus_Segment_02,csi_active,-5.9586163202833164,-0.9324185957506339,-3.4461810586258563,64.86524685576718,0.0,1161.49799772,single,True,non_plastic_active_veto,False
64,muminus::Background_muminus_fullsphere20_rep03_part01.inc1.id1.sim.gz::7838,muminus,prompt,7838,Background_muminus_fullsphere20_rep03_part01.inc1.id1.sim.gz,510.998862,1680.164,18.20161,-52.92219,-25.11215,-0.25264,0.68742,0.6809,72.37259060454305,133.839068853114,side_wall,side,side_phi06_270deg,282.370754450458,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-2.6205991195926073,0.41283044676130887,-3.6095958116963476,61.16002481439513,4670.935241745001,0.0,single,True,plastic_skin_veto,False
65,muplus::Background_muplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::4293,muplus,prompt,4293,Background_muplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.99899999999997,556.224,-38.13563,-30.77989,46.74763,0.34133,0.80067,-0.49237,96.1309423110723,53.63663777724051,envelope_miss,miss_current_outer_envelope,phi05_225deg,,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-5.7506847392075136,1.239108404361163,-1.426552238150936,66.29293154385003,977.86595243,1063.4464799999998,keep,True,plastic_skin_veto,False
66,muplus::Background_muplus_fullsphere20_rep01_part01.inc1.id1.sim.gz::8447,muplus,prompt,8447,Background_muplus_fullsphere20_rep01_part01.inc1.id1.sim.gz,510.998917,2149.973,-35.07655,39.3334,31.24418,0.44337,-0.69152,-0.57027,95.14822022806845,316.02644699336196,side_wall,side,side_phi03_135deg,144.7973918446583,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.7817197973060304,1.233784238186497,-4.759302991198541,61.05078137182846,2889.0241930300003,24507.025266769968,single,True,plastic_skin_veto,False
67,muplus::Background_muplus_fullsphere20_rep02_part01.inc1.id1.sim.gz::9490,muplus,prompt,9490,Background_muplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,510.998869,770.151,-10.50368,51.04364,48.38613,-0.28477,-0.66723,-0.68827,133.4752615256811,293.1522806688805,side_wall,side,side_phi03_135deg,153.92009874736576,left_upper,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-4.0021331963323545,0.6531591136552947,-4.709561592875931,73.48893209540569,1945.2858157499995,24729.406702737946,single,True,plastic_skin_veto,False
68,muplus::Background_muplus_fullsphere20_rep04_part01.inc1.id1.sim.gz::4675,muplus,prompt,4675,Background_muplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,510.99890500000004,3425.736,35.69302,-61.00087,-8.53631,-0.58977,0.74729,-0.30615,129.30967104626333,105.02245069165099,side_wall,side,side_phi07_315deg,316.0828061545361,right_lower,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,-3.477273158729381,-0.14660572766339316,-4.844884380705112,72.46502583571589,4212.097776237,2411.48476826935,veto,False,plastic_skin_veto,False
69,muplus::Background_muplus_fullsphere20_rep05_part01.inc1.id1.sim.gz::4435,muplus,prompt,4435,Background_muplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,510.9989,14036.603,-2.21256,5.42137,87.38372,-0.1825,0.6013,-0.7779,132.77386837935543,55.0014971537945,envelope_miss,miss_current_outer_envelope,phi04_180deg,,left_upper,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,-4.692612064557282,0.3652806717373755,-2.3364075527514827,89.89669618857125,2997.908733671999,1147.2905899999998,keep,True,plastic_skin_veto,False
