transport_stage,band,filter_stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
S1,b100_300,raw,723,604,0.0599925499309828,0.0819409288560182,0.0022311469388687968,0.003334129110200813,0.0219483789250354,0.004011786832112602,5.470973370107357,0.36585174242944274,0.06687141714642701,0.2347837648224458,0.4969197200364397
S1,b100_300,active_veto_pass,527,458,0.04372900942410503,0.06213401558949724,0.0019048655693295537,0.002903331881049667,0.018405006165392215,0.0034724413384154672,5.300307297283451,0.42088779068584853,0.0794081865595915,0.2652477450290492,0.5765278363426478
S1,b100_300,side_compton_fov_pass,502,443,0.041654578237003276,0.06009905874704646,0.0018591348114691383,0.002855392451977529,0.018444480510043187,0.0034072933982894154,5.4132351852361715,0.44279599723946517,0.08179877320814145,0.28247040175150795,0.6031215927274224
S1,b300_480,raw,227,134,0.018835835178883948,0.018178947792560327,0.0012501782901680107,0.001570421900828483,-0.0006568873863236208,0.0020072794284327123,-0.3272525872675932,-0.03487434350986619,0.10656705207757328,-0.2437457655819098,0.17399707856217744
S1,b300_480,active_veto_pass,75,61,0.00622329356130527,0.00827549115929985,0.0007186040425731324,0.0010595680679490172,0.0020521975979945805,0.001280264137051281,1.6029485936560133,0.3297606930765056,0.2057213153195298,-0.07345308494977282,0.7329744711027839
S1,b300_480,side_compton_fov_pass,64,54,0.005310543838980497,0.007325844632822819,0.0006638179798725622,0.0009969211825179272,0.002015300793842322,0.0011977087102275877,1.6826301559244534,0.37949047309422335,0.22553409717403264,-0.06255635736688064,0.8215373035553273
S1,b480_550,raw,63,65,0.005227566591496427,0.008818146317286725,0.0006586114839585297,0.001093756438033465,0.0035905797257902985,0.0012767428216135424,2.8122967797481238,0.6868548994920541,0.2442327226764348,0.20815876304624192,1.1655510359378662
S1,b480_550,active_veto_pass,32,43,0.0026552719194902485,0.005833542948358911,0.0004693901950414438,0.0008896069595985814,0.0031782710288686625,0.0010058467566022554,3.1597964680075563,1.1969663090019111,0.37881120544345415,0.45449634633274105,1.9394362716710813
S1,b480_550,side_compton_fov_pass,27,37,0.002240385682069897,0.005019560211378599,0.0004311624255438795,0.0008252106154689067,0.0027791745293087016,0.0009310604690799912,2.9849559954520326,1.2404893280432931,0.4155804406943818,0.4259516642823048,2.0550269918042816
S1,w2_510p58_511p42,raw,28,42,0.0023233629295539675,0.005697879158862192,0.00043907432263901985,0.0008792018418916227,0.0033745162293082245,0.0009827421531543948,3.4337758062750643,1.4524275077230635,0.42298262602608483,0.6233815607119373,2.28147345473419
S1,w2_510p58_511p42,active_veto_pass,15,28,0.001244658712261054,0.0037985861059081274,0.00032136949761993544,0.000717865297849869,0.0025539273936470734,0.0007865169673043112,3.2471357895816806,2.0519097873887007,0.6319137604199307,0.8133588169656365,3.290460757811765
S1,w2_510p58_511p42,side_compton_fov_pass,13,27,0.0010787042172929135,0.0036629223164114087,0.00029917872050068064,0.0007049297284669381,0.002584218099118495,0.0007657896766586081,3.374579441178011,2.395668856847318,0.7099162721180536,1.004232963495933,3.7871047501987034
S1,b550_800,raw,80,54,0.006638179798725621,0.007325844632822819,0.0007421710638408181,0.0009969211825179272,0.0006876648340971977,0.0012428474291543406,0.5532978690434266,0.1035923784753787,0.18722714160181966,-0.26337281906418786,0.4705575760149452
S1,b550_800,active_veto_pass,34,30,0.002821226414458389,0.004069913684901566,0.00048383633844628697,0.0007430611774398534,0.0012486872704431766,0.0008867003528923461,1.4082404121866625,0.4426044163076844,0.3142960622898366,-0.1734158657803953,1.0586246983957641
S1,b550_800,side_compton_fov_pass,24,23,0.0019914539396176864,0.0031202671584245325,0.00040650383319322276,0.0006506206782404252,0.0011288132188068461,0.0007671718408249968,1.471395531922743,0.5668286854897344,0.3852320285008833,-0.18822609037199678,1.3218834613514656
S1,b800_1500,raw,123,108,0.01020620144054064,0.01465168926564564,0.0009202621924234503,0.0014098594569338762,0.004445487825105,0.0016836229361439276,2.640429593627827,0.4355673215939891,0.16496077859646313,0.11224419554492138,0.7588904476430568
