mode,band,stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
instant,b480_550,side_compton_fov_pass,5,6,0.03396288880961268,0.04071062960963728,0.015188667965656296,0.01662014852042167,0.006747740800024604,0.02251499436846095,0.29969986621346234,0.19867982484796048,0.6629293077710287,-1.1006616183832556,1.4980212680791765
instant,w2_510p58_511p42,raw,12,13,0.08145806126458385,0.183314217950465,0.023514921853775347,0.0800596520490337,0.10185615668588116,0.0834415929617928,1.2206880653934813,1.2504122379618423,1.02435034257403,-0.7573144334832562,3.2581389094069406
instant,w2_510p58_511p42,active_veto_pass,4,5,0.027177864173188224,0.03395363394798935,0.013588932086594112,0.015184645485393694,0.006775769774801127,0.020377255305147307,0.3325163116099136,0.24931207734438626,0.7497739769135383,-1.220244917406149,1.7188690720949213
instant,w2_510p58_511p42,side_compton_fov_pass,3,4,0.020383398129891168,0.027149477969517697,0.01176836039729198,0.013574863532931577,0.006766079839626529,0.017965834975816344,0.3766081481174847,0.33194071942815234,0.8813954798572278,-1.3955944210920141,2.0594758599483187
instant,b550_800,raw,30,39,0.20363986738714412,0.2643944160691713,0.03717943284639765,0.04233701167427586,0.060754548682027176,0.056344767142012066,1.0782642606171509,0.2983430968677926,0.27668829225317565,-0.24396595594843162,0.8406521496840168
instant,b550_800,active_veto_pass,5,5,0.03392512318212227,0.03390287910029896,0.015171776316055874,0.015161828460245075,-2.224408182330967e-05,0.02144909878858157,-0.0010370637033548145,-0.0006556816817995158,0.6322482212794067,-1.2398621953894366,1.2385508320258376
instant,b550_800,side_compton_fov_pass,3,1,0.02035507390927336,0.006780575820059791,0.011752007400893704,0.006780575820059791,-0.013574498089213568,0.013567825411695121,-1.000491801546377,-0.6668852272272665,0.6665574132606757,-1.973337757218191,0.6395673027636579
instant,b800_1500,raw,50,63,0.38657411491379,0.42715041118474373,0.07209227968102162,0.05381591637555249,0.040576296270953716,0.08996360177842538,0.45103014406749237,0.10496382118084302,0.23272019079313727,-0.35116775277370604,0.5610953951353921
instant,b800_1500,active_veto_pass,8,13,0.101748968457443,0.0881474856607773,0.05714656853999227,0.024447713796396865,-0.01360148279666569,0.06215642368867893,-0.2188266632712178,-0.1336768618185508,0.6108801359954441,-1.3310019283696213,1.0636482047325195
instant,b800_1500,side_compton_fov_pass,5,6,0.08139389454816963,0.040683454920358755,0.05592513404494775,0.016608950921400096,-0.040710439627810874,0.05833933380365986,-0.697821469213571,-0.5001657661646608,0.7167531929453765,-1.9050020243375987,0.9046704920082771
instant,b1500_3000,raw,54,59,0.4139937941745837,0.3999409763325904,0.0733841413071149,0.052067938436529106,-0.014052817841993304,0.08997945547964153,-0.15617807161739103,-0.0339445132746776,0.21734493788497866,-0.4599405915292358,0.39205156497988053
instant,b1500_3000,active_veto_pass,13,11,0.13567409163956526,0.07458633402065772,0.05912624706913562,0.022488625857694698,-0.06108775761890754,0.0632586072044575,-0.9656829373663954,-0.45025366951558154,0.4662541421136741,-1.3641117880583828,0.46360444902721964
instant,b1500_3000,side_compton_fov_pass,6,10,0.08817891918459408,0.06780575820059792,0.05633522146279591,0.021442063438852965,-0.020373160983996164,0.0602778505072805,-0.3379875163520545,-0.23104344181568964,0.6835857262107582,-1.5708714651887756,1.1087845815573962
instant,b3000_8000,raw,27,36,0.1832402293306655,0.29155979659203124,0.035264625691938625,0.06752323978253946,0.10831956726136574,0.07617730459869827,1.4219401412532613,0.5911342048470047,0.4157236916639784,-0.22368423081439281,1.4059526405084024
instant,b3000_8000,active_veto_pass,5,9,0.03392512318212227,0.10857138102233088,0.015171776316055874,0.05761256886341409,0.07464625784020862,0.0595767646622915,1.2529424560621567,2.2003238555533207,1.7561252273856747,-1.2416815901226017,5.642329301229243
instant,b3000_8000,side_compton_fov_pass,1,7,0.006785024636424454,0.09501022938221132,0.006785024636424454,0.056808940089905495,0.08822520474578686,0.057212692940075444,1.5420564950192768,13.002930641130206,8.432201208664317,-3.524183727851856,29.530045010112268
buildup,all_50_8000,raw,421,488,3.0945939910672,3.5938352082846596,0.18406216593862523,0.19965989440499066,0.4992412172174596,0.27155653990252204,1.838442990165758,0.16132688768173156,0.0877519121042671,-0.010666860042631954,0.3333206354060951
