production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,inventory_activity_Bq,source_activity_Bq,relative_delta,activity_fraction,rpip_count,source_rows,status
alpha,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Window,26055,Fe-55,0,gs,0.000006973575649685694137896397167,0.000006973575649685694137896397167,0,0.000000080156187459691783311874856863446747494011212519136459959407319792479367836061313,1,1,PASS
alpha,G10_Support_Ring_60K_Top,G10_Support_Ring_60K_Top,6011,C-11,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,23048,V-48,0,gs,0.000324709514514696320608987672,0.000324709514514696320608987672,0,0.0000037323000456098288819745646329992521286118595889812966446746726645631040199775716,1,1,PASS
alpha,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,41092,Nb-92,0,gs,0.0000000000005567721795900592915957420816,0.0000000000005567721795900592915957420816,0,0.0000000000000063996918426737699065813695132951156461658905390910677917090275448274438743823229,1,1,PASS
alpha,Nb_MagShield_Inner_Cylinder_2mm,Nb_MagShield_Inner_Cylinder_2mm,31068,Ga-68,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,14025,Si-25,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9022,F-22,0,gs,0.0006787041637143035545094462046,0.0006787041637143035545094462046,0,0.0000078012114457823403891755075598956074917501191127834000825081745566099754562937373,1,1,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,Na-22,0,gs,0.00001476974091239649761503356871,0.00001476974091239649761503356871,0,0.00000016976744510665654329582875098124819474910444810172950109579221204024433200515039,2,2,PASS
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,0.00000000002694559910986569123304257647,0,0.00000000000030972009224011863113342530008387588197193973543735050174809068768042336585803633,1,1,PASS
