replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,Z20d,flux_3sigma_20d_ph_cm2_s,reference_prompt_final_cps,reference_delayed_final_cps,reference_signal_final_cps,reference_Z20d,reference_flux_3sigma_20d_ph_cm2_s
19,26221762,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27825,0.7481045329891919,0.006075002887423408,0.0011104481412954972,18.14487865046984,1.6533590870404192e-05,0.03933984972205588,0.003984600717591325,0.001115037594529962,6.978311507985643,4.2990342242058776e-05
20,26229681,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27999,0.7527827068882079,0.00610607963250202,0.0011173921835806874,18.215530308458547,1.646946286601891e-05,0.04205373341869632,0.003842293549105921,0.0011200261306543802,6.80987638373802,4.4053663105603474e-05
21,26237600,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27922,0.7507124805076089,0.006075002887423408,0.0011143192453280458,18.20813303373699,1.647615378491272e-05,0.04069696138697434,0.003415372043649708,0.0011173921835806874,6.9295066002582075,4.329312565902187e-05
22,26245519,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27909,0.7503629617680272,0.006075002887423408,0.0011138004375711062,18.199655642094605,1.6483828370143433e-05,0.040696848175908844,0.0036999863806205166,0.0011159953934658504,6.898961168567655,4.348480773697198e-05
23,26253438,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27875,0.7494488358337368,0.00610607963250202,0.0011124435557452645,18.134858651299,1.6542726125880834e-05,0.04341050545041831,0.0036999863806205166,0.0011166738343787713,6.701130868108993,4.476856308354081e-05
24,26261357,5,0.003393031514121508,27,0.0008390721171225254,9,0.0017496690209435383,27872,0.7493681776630641,0.005981772652187572,0.0011123238308782784,18.305216097959143,1.6388771287624798e-05,0.044088948071812045,0.003842293549105921,0.001115955485176855,6.639322582294355,4.518533273259466e-05
25,26269276,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27923,0.7507393665644998,0.006075002887423408,0.001114359153617041,18.208785147471836,1.647556372214392e-05,0.04205373341869632,0.003984600717591325,0.0011184697073835616,6.790049061959602,4.418230225768359e-05
26,26277195,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27857,0.7489648868097006,0.0060439261423447955,0.0011117252065433482,18.208645695375836,1.6475689901319037e-05,0.041375177586237086,0.003842293549105921,0.0011174320918696827,6.844961397169308,4.3827858565289094e-05
27,26285114,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27943,0.7512770877023177,0.00610607963250202,0.001115157319396948,18.179097946949355,1.650246898253514e-05,0.04205373341869632,0.0036999863806205166,0.0011175119084476733,6.804992457665308,4.408528030946938e-05
28,26293033,5,0.003393031514121508,29,0.0009012256072797496,7,0.0013608536829560853,27985,0.7524063020917353,0.0056551108043573425,0.0011168334675347525,18.96421554451722,1.5819267572432417e-05,0.04137529079730258,0.003842293549105921,0.001117472000158678,6.845197259252314,4.3826348407199646e-05
29,26300952,5,0.003393031514121508,30,0.0009323023523583617,8,0.0015552613519498118,27971,0.7520298972952628,0.005880595218429681,0.0011162747514888178,18.564443063717754,1.615992459188385e-05,0.0400185187655806,0.0035576792121351122,0.0011178710830486314,6.97522865097369,4.300934277733279e-05
30,26308871,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27885,0.7497176964026457,0.006075002887423408,0.001112842638635218,18.18400507932143,1.649801562919466e-05,0.04273206282902456,0.003984600717591325,0.001117910991337627,6.737137745924867,4.452929586922322e-05
31,26316790,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27938,0.7511426574178632,0.0060439261423447955,0.0011149577779519713,18.261591112882193,1.6427922306746445e-05,0.040018631976646096,0.003984600717591325,0.0011142793370390502,6.919492109448143,4.3355783235935535e-05
