probe,day_mid,altitude_km,latitude_deg,longitude_deg,particle,angle_bin,direction,energy_bin,energy_MeV,flux_proxy
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,7,0.0464158883361,0.00871348782437295
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,8,0.0577969288415,0.007357664973269883
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,9,0.0719685673001,0.006235945047531108
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,10,0.0896150501947,0.005304414544432648
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,11,0.111588399251,0.004527777874614415
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,12,0.138949549437,0.003877640907041529
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,13,0.173019573885,0.0033310055467827733
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,14,0.215443469003,0.002869011914944742
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,15,0.268269579528,0.0024759799159581805
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,16,0.334048498351,0.00213876349197937
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,17,0.415956216307,0.0018463683542667435
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,18,0.517947467923,0.0015897444010388663
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,19,0.644946677104,0.0013616670535508857
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,20,0.803085722139,0.0011566497889211602
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,21,1.0,0.0009708553518490651
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,22,1.24519708474,0.0008019818963166076
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,23,1.55051577983,0.0006490958542227063
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,24,1.93069772888,0.0005123767662843809
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,25,2.40409918351,0.00039274259650929467
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,26,2.99357729472,0.00029134711031517606
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,27,3.72759372031,0.00020898910453943532
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,28,4.64158883361,0.0001455416070019604
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,29,5.77969288415,9.95728768785379e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,30,7.19685673001,6.83407316762999e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,31,8.96150501947,4.824182249907753e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,32,11.1588399251,3.558430618777557e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,33,13.8949549437,2.7339890282751644e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,34,17.3019573885,2.1516914545674504e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,35,21.5443469003,1.7057746354585248e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,36,26.8269579528,1.3483361267208283e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,37,33.4048498351,1.0572722286849842e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,38,41.5956216307,8.19080065767925e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,39,51.7947467923,6.570231570792157e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,40,64.4946677104,5.236725956244848e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,41,80.3085722139,4.080826879904013e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,42,100.0,3.1106636923563503e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,43,124.519708474,2.335519508271739e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,44,155.051577983,1.7502352565899353e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,45,193.069772888,1.500741482406166e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,46,240.409918351,1.2816625683766617e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,47,299.357729472,1.0603949123437192e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,48,372.759372031,8.528980733172871e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,49,464.158883361,6.754292125814226e-07
low_altitude,3.75,36.25,34.155872450464685,99.75,n,1,down,50,577.969288415,5.306616120828536e-07
