event_index,stream,tag,local_id,primary,source_volume,component,rate_hz,tes_total_keV,bgo_total_keV,source_file
62664,prompt,eplus,216163,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
63719,prompt,eplus,233066,eplus,,prompt:eplus,0.0006792218562725798,510.99890500000004,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
64712,prompt,eplus,4412,eplus,,prompt:eplus,0.0006792218562725798,510.998977,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
65704,prompt,eplus,19872,eplus,,prompt:eplus,0.0006792218562725798,510.9989280000001,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
65730,prompt,eplus,20315,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
71378,prompt,eplus,107525,eplus,,prompt:eplus,0.0006792218562725798,510.998907833,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
71873,prompt,eplus,115114,eplus,,prompt:eplus,0.0006792218562725798,510.99892,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
72932,prompt,eplus,131774,eplus,,prompt:eplus,0.0006792218562725798,510.99887,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
73021,prompt,eplus,133277,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
76335,prompt,eplus,184658,eplus,,prompt:eplus,0.0006792218562725798,510.99889999999994,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
76612,prompt,eplus,189419,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
79236,prompt,eplus,230886,eplus,,prompt:eplus,0.0006792218562725798,510.99886,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz
81507,prompt,eplus,23934,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
81805,prompt,eplus,28510,eplus,,prompt:eplus,0.0006792218562725798,510.99881000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
83917,prompt,eplus,62189,eplus,,prompt:eplus,0.0006792218562725798,510.998954,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
84240,prompt,eplus,67296,eplus,,prompt:eplus,0.0006792218562725798,510.99896,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
86571,prompt,eplus,104066,eplus,,prompt:eplus,0.0006792218562725798,510.999,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
88881,prompt,eplus,140058,eplus,,prompt:eplus,0.0006792218562725798,510.99890999999997,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
89175,prompt,eplus,144768,eplus,,prompt:eplus,0.0006792218562725798,510.99893,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
94298,prompt,eplus,224887,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
94507,prompt,eplus,227938,eplus,,prompt:eplus,0.0006792218562725798,510.998878,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
95387,prompt,eplus,241096,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
96312,prompt,eplus,11466,eplus,,prompt:eplus,0.0006792218562725798,510.99886999999995,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
98604,prompt,eplus,47991,eplus,,prompt:eplus,0.0006792218562725798,510.99889499999995,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
101272,prompt,eplus,89729,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
101855,prompt,eplus,99174,eplus,,prompt:eplus,0.0006792218562725798,510.99889299999995,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
103646,prompt,eplus,127344,eplus,,prompt:eplus,0.0006792218562725798,510.99889999999994,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
103651,prompt,eplus,127400,eplus,,prompt:eplus,0.0006792218562725798,510.998871,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
103953,prompt,eplus,132159,eplus,,prompt:eplus,0.0006792218562725798,510.99889,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
109648,prompt,eplus,224468,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
