VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
Outer_Al_Mech_Shell,10023,Ne-23,0.23168227694,0.23168227676516673,0.9999999992453749,kept_rescaled,126.0,37.15,nubase_ground,210,37.15,s
CsI_Active_Shield_Side01,53126,I-126,0.2276200705,0.22762007044603697,0.999999999762925,kept_rescaled,223.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Side05,53126,I-126,0.22758144169999997,0.2275814417753863,1.00000000033125,kept_rescaled,223.0,1117152.0,nubase_ground,2424,12.93,d
ColdPlate_1K,29066,Cu-66,0.22169999552999997,0.22169999556600006,1.000000000162382,kept_rescaled,120.0,307.2,nubase_ground,951,5.120,m
CsI_Active_Shield_Side06,53126,I-126,0.2204819082,0.2204819081540134,0.9999999997914268,kept_rescaled,216.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Bottom01,53126,I-126,0.21435870680000002,0.21435870679123192,0.9999999999590962,kept_rescaled,210.0,1117152.0,nubase_ground,2424,12.93,d
ADR_Magnet_Coil_Cu,29062,Cu-62,0.21243991399999998,0.2124399138910486,0.9999999994871426,kept_rescaled,115.0,580.32,nubase_ground,881,9.672,m
ActiveShield_Al_Backplane_Liner,12027,Mg-27,0.2062445458,0.20624454576885254,0.9999999998489779,kept_rescaled,112.0,566.1,nubase_ground,263,9.435,m
Thermal_60K_Al_Shield,13028,Al-28,0.20322499606999994,0.20322499593550006,0.9999999993381725,kept_rescaled,110.0,134.70000000000002,nubase_ground,276,2.245,m
ADR_SaltPill_Proxy,64159,Gd-159,0.1921397336,0.19213973368715984,1.0000000004536274,kept_rescaled,104.0,66524.4,nubase_ground,3392,18.479,h
Outer_Al_Mech_Shell,14027,Si-27,0.17555141633,0.17555141623795162,0.9999999994756615,kept_rescaled,95.0,4.117,nubase_ground,266,4.117,s
Vacuum_Jacket_Al,12027,Mg-27,0.17548704684,0.17548704685912847,1.0000000001090021,kept_rescaled,95.0,566.1,nubase_ground,263,9.435,m
Passive_Top_W_Aperture_Annulus,74185,W-185,0.16385874539999998,0.16385874537388723,0.9999999998406387,kept_rescaled,686.0,6488639.999999999,nubase_ground,4151,75.1,d
CsI_Active_Shield_Side01,55130,Cs-130,0.15712777582,0.15712777587153762,1.000000000327998,kept_rescaled,85.0,1752.6000000000001,nubase_ground,2576,29.21,m
ColdPlate_50mK,29066,Cu-66,0.15518999683999998,0.15518999689620006,1.0000000003621372,kept_rescaled,84.0,307.2,nubase_ground,951,5.120,m
PulseTube_ColdHead_Interface_Cu,29066,Cu-66,0.14779999689,0.14779999704400004,1.0000000010419487,kept_rescaled,80.0,307.2,nubase_ground,951,5.120,m
Vacuum_Jacket_Al,11024,Na-24,0.13669761356,0.13669761340507489,0.9999999988666584,kept_rescaled,74.0,53841.6,nubase_ground,223,14.9560,h
CsI_Active_Shield_Bottom01,55131,Cs-131,0.13622755729,0.13622755732716899,1.0000000002728449,kept_rescaled,112.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Side05,55131,Cs-131,0.13372342594000003,0.13372342587295635,0.9999999994986393,kept_rescaled,110.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Side07,55131,Cs-131,0.13250480526,0.1325048053276443,1.0000000005105045,kept_rescaled,109.0,837129.6,nubase_ground,2611,9.689,d
Passive_Cu_Inner_Liner,29062,Cu-62,0.13115716964000002,0.13115716968237573,1.000000000323091,kept_rescaled,71.0,580.32,nubase_ground,881,9.672,m
CsI_Active_Shield_Bottom03,55131,Cs-131,0.12765530443999998,0.12765530446584547,1.0000000002024632,kept_rescaled,105.0,837129.6,nubase_ground,2611,9.689,d
Passive_W_Outer_Liner,74180,W-180,0.12747913626000001,2.2822776806036202e-21,1.7903146723153206e-20,removed_negligible_or_stable,69.0,5.0176584e+25,nubase_ground,4013,1.59,Ey
CsI_Active_Shield_Bottom00,55131,Cs-131,0.12521741447,0.12521741450732088,1.0000000002980485,kept_rescaled,103.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Side04,55131,Cs-131,0.12401470789999999,0.12401470801083786,1.0000000008937477,kept_rescaled,102.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Bottom02,55131,Cs-131,0.12156566225000001,0.12156566228941662,1.0000000003242413,kept_rescaled,100.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Bottom01,53124,I-124,0.11529423567,0.1152942356174373,0.9999999995440996,kept_rescaled,68.0,360806.4,nubase_ground,2352,4.1760,d
CsI_Active_Shield_Side03,55130,Cs-130,0.11453897265,0.11453897258825294,0.9999999994609078,kept_rescaled,62.0,1752.6000000000001,nubase_ground,2576,29.21,m
CsI_Active_Shield_Side06,55131,Cs-131,0.11428260034999999,0.11428260025730676,0.9999999991889121,kept_rescaled,94.0,837129.6,nubase_ground,2611,9.689,d
CsI_Active_Shield_Side00,55131,Cs-131,0.11427540045000001,0.11427540032299466,0.9999999988886029,kept_rescaled,94.0,837129.6,nubase_ground,2611,9.689,d
